"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","Porgies & Grunts","Porgies & Grunts"
"1989","0.00416","0.002237"
"1990","0.000216","0.00014"
"1991","0.000309","0.000225"
"1992","0.00199","0.001882"
"1993","0.005199","0.004894"
"1994","0.0102785","0.0098384"
"1995","0.0053986","0.0049766"
"1996","0.02540307","0.02367269"
"1997","0.05106021","0.03956381"
"1998","0.09286015","0.08159561"
"1999","0.12011286","0.10115105"
"2000","0.11256471","0.102242464"
"2001","0.13741829","0.13463617"
"2002","0.14245626","0.13543613"
"2003","0.14039796","0.13718031"
"2004","0.16129531","0.14876429"
"2005","0.09490171","0.099871307"
"2006","0.11717229","0.12934121"
"2007","0.1638184","0.17636912"
"2008","0.15852923","0.174997823"
"2009","0.26554518","0.2943294"
"2010","0.18967157","0.2212759536"
"2011","0.29565254","0.3442311696"
"2012","0.40798224","0.497754304"
"2013","0.26787953","0.333939948"
"2014","0.31017905","0.389773351"
"2015","0.254228","0.322613028"
"2016","0.20129044","0.265689676"
"2017","0.16656841","0.22614226"
"2018","0.17034376","0.24814472"
"2019","0.15860288","0.247640596"
"2020","0.14307792","0.2244725674"
"2021","0.16324073","0.272090891"
"2022","0.14942408","0.2808807206"
"2023","0.16857576","0.3183268049"
"2024","0.13392304","0.2588084062"
"2025","0.05908281","0.1197782986"
