"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","SCAMP","SCAMP"
"1984","0.014669","0.014328"
"1985","0.031737","0.035022"
"1986","0.387411536415441","0.201141034200368"
"1987","0.361704816074766","0.216697296261682"
"1988","0.276580637398509","0.551099007895609"
"1989","0.30342144161435","0.502470652959641"
"1990","0.289930670260266","0.501381092139965"
"1991","0.358323826986801","0.639562396189273"
"1992","0.342843413978358","0.648085795563335"
"1993","0.365295972124105","0.709987688472554"
"1994","0.250601125929457","0.529671896810862"
"1995","0.271150454694609","0.585632623878344"
"1996","0.270196280210143","0.630245119042267"
"1997","0.33686996","0.78422476"
"1998","0.24952482","0.57997526"
"1999","0.29844871","0.70061709"
"2000","0.22794394","0.54004078"
"2001","0.30978462","0.757896144"
"2002","0.35337426","0.843442408"
"2003","0.3636974","0.91670709"
"2004","0.3710495","0.925299625"
"2005","0.35787308","0.93302584"
"2006","0.24961259","0.70981591"
"2007","0.32080296","0.98644503"
"2008","0.32303273","1.03127124"
"2009","0.29522446","0.96672356"
"2010","0.18440755","0.63848871"
"2011","0.16959413","0.603064856"
"2012","0.29397635","1.08254148"
"2013","0.29338643","1.12298533"
"2014","0.19493","0.7569298954"
"2015","0.20660384","0.81847294"
"2016","0.3339382","1.313557409"
"2017","0.19095174","0.784671682"
"2018","0.16819735","0.75764471"
"2019","0.13110803","0.62251724"
"2020","0.1248646","0.660602782"
"2021","0.13568606","0.783296344"
"2022","0.12837069","0.833260399"
"2023","0.11636607","0.79687983"
"2024","0.08497637","0.57806225"
"2025","0.06645892","0.461127636"
