"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","SNAPPER, GRAY","SNAPPER, GRAY"
"1977","0.62537","0.27455"
"1978","0.66616","0.353837"
"1979","0.673257","0.449234"
"1980","0.706061","0.54705"
"1981","0.592447","0.476408527709625"
"1982","0.639638","0.598225589709075"
"1983","0.676813","0.668850839795551"
"1984","0.486877","0.629524640537739"
"1985","0.385172","0.509915449485483"
"1986","0.447569837805123","0.129513652949597"
"1987","0.482831249596999","0.181102072805632"
"1988","0.318985678803628","0.429213355522601"
"1989","0.378639094532266","0.451613978484339"
"1990","0.234804860932429","0.319835276292648"
"1991","0.27420913129381","0.320574627059694"
"1992","0.286109019850656","0.40383222921592"
"1993","0.375896366581729","0.5531959249848"
"1994","0.368274504313718","0.568929722557547"
"1995","0.222190857162604","0.371970070801159"
"1996","0.236013018528938","0.392734237706007"
"1997","0.2145521","0.35460108"
"1998","0.1850344","0.31495775"
"1999","0.20397057","0.36221367"
"2000","0.18637711","0.33730971"
"2001","0.19778061","0.371644684"
"2002","0.23013728","0.428973602"
"2003","0.20045558","0.37953038"
"2004","0.22946806","0.441168918"
"2005","0.23884039","0.46697979"
"2006","0.20307399","0.431460546"
"2007","0.14955352","0.32374727"
"2008","0.15049113","0.32306095"
"2009","0.18084332","0.37250933"
"2010","0.1013627","0.255567867"
"2011","0.18166516","0.43337782"
"2012","0.16855102","0.4082364298"
"2013","0.13432476","0.3387715"
"2014","0.198897","0.547336092"
"2015","0.16478396","0.440082838"
"2016","0.15619067","0.426801354"
"2017","0.13685435","0.381882872"
"2018","0.11189346","0.337935403"
"2019","0.11416262","0.370578237"
"2020","0.08763513","0.28566018"
"2021","0.09971937","0.328030479"
"2022","0.11088636","0.3979676734"
"2023","0.10645971","0.418752384"
"2024","0.10203331","0.40603478"
"2025","0.05470898","0.22013672"
