"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","SNAPPER, MUTTON","SNAPPER, MUTTON"
"1977","0.189339","0.133841"
"1978","0.223279","0.182858"
"1979","0.217639","0.219385"
"1980","0.201668","0.238707"
"1981","0.128123","0.162467924969233"
"1982","0.169177","0.234544245472216"
"1983","0.181442","0.250408551161598"
"1984","0.126062","0.19056713537482"
"1985","0.148017","0.223999460135964"
"1986","0.175577725771933","0.0651834799104209"
"1987","0.260099715112693","0.111881012732305"
"1988","0.206111172712972","0.33756607053663"
"1989","0.240150997544445","0.311242842603451"
"1990","0.281516204210424","0.431393714855814"
"1991","0.242334004363383","0.356873100460195"
"1992","0.220798652633549","0.315918774785222"
"1993","0.238099123018107","0.370631159806607"
"1994","0.161309571093289","0.26737580734402"
"1995","0.108033971557062","0.185150316086025"
"1996","0.0953744048539763","0.162382621374838"
"1997","0.06654321","0.10581399"
"1998","0.07317709","0.12177517"
"1999","0.08297432","0.14321404"
"2000","0.07467374","0.13171971"
"2001","0.07959147","0.13825662"
"2002","0.08622474","0.14774651"
"2003","0.11303513","0.19492057"
"2004","0.20227838","0.3464044"
"2005","0.14431081","0.2655996"
"2006","0.14113736","0.28509801"
"2007","0.09929959","0.20378185"
"2008","0.05102012","0.10574775"
"2009","0.04174583","0.08893308"
"2010","0.05126245","0.10470797"
"2011","0.09029915","0.20636319"
"2012","0.08240234","0.19210075"
"2013","0.11140595","0.26006481"
"2014","0.12938273","0.321259926"
"2015","0.12325503","0.31251827"
"2016","0.07814567","0.200819036"
"2017","0.12572965","0.34414342"
"2018","0.13875177","0.37208588"
"2019","0.05919975","0.171002785"
"2020","0.05966566","0.18171036"
"2021","0.05650959","0.18763267"
"2022","0.06350707","0.23407449"
"2023","0.09382374","0.340180536"
"2024","0.08473976","0.3374607608"
"2025","0.0776286","0.31848939"
