"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","SNAPPER, RED","SNAPPER, RED"
"1977","5.214909","4.939742"
"1978","4.65057","5.166691"
"1979","4.501981","6.145591"
"1980","4.509824","7.136973"
"1981","5.32536209399932","9.08745410234869"
"1982","5.95185091871737","10.3074335695916"
"1983","6.84003377129118","11.9740131659178"
"1984","5.382877","9.92718711549037"
"1985","4.007988","8.18362006593407"
"1986","3.7708400196682","5.4921926624424"
"1987","3.06902502168848","5.09400990193425"
"1988","3.97790010360382","8.74646508655529"
"1989","3.10098505849291","6.66219006192671"
"1990","2.66154946061363","5.82199133895919"
"1991","2.22456075844134","4.8953139122694"
"1992","3.11673445151926","6.01287965066256"
"1993","3.41929325891271","6.61800448991255"
"1994","3.24983165084722","6.5796849699213"
"1995","2.94773699861588","5.77259434493377"
"1996","4.33670916131247","7.91816925858739"
"1997","4.8134528","8.41762066"
"1998","4.689314","9.79061931"
"1999","4.88213083","9.57776148"
"2000","4.83636886","9.341966305"
"2001","4.67829344","10.28433212"
"2002","4.81441852","10.68587537"
"2003","4.44586447","10.4771142999"
"2004","4.44137182","11.107745102"
"2005","4.18825538","11.5574169"
"2006","4.68151902","13.25920326"
"2007","3.08616964","9.82857768"
"2008","2.46440225","8.25141753"
"2009","2.50079175","7.98252342"
"2010","3.31953727","10.34096608"
"2011","3.56208686","11.43067627"
"2012","4.03421012","13.677352"
"2013","5.48381094","21.04015702"
"2014","5.693623","23.096057818"
"2015","6.79122929","27.598411245"
"2016","6.66036767","26.934214644"
"2017","6.87993632","28.351406812"
"2018","6.84756983","28.967497922"
"2019","7.50693666","32.181472754"
"2020","7.28659393","30.9707757"
"2021","7.31226833","32.358744752"
"2022","7.24987973","36.283777567"
"2023","7.83766708","42.326642336"
"2024","7.90072148","42.6772593196"
"2025","6.71734269","37.569920568"
