"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","SNAPPER, VERMILION","SNAPPER, VERMILION"
"1977","0.479317","0.416851"
"1978","0.405745","0.381923"
"1979","0.395693","0.380347"
"1980","0.278718","0.329221"
"1981","0.326004","0.374349825553389"
"1982","0.358295","0.422741186218212"
"1983","0.514835","0.643136854483401"
"1984","1.36937087320353","1.96953294439235"
"1985","1.395789","2.19673978968903"
"1986","1.76074382044874","1.19899403861893"
"1987","1.60647719","1.47432214"
"1988","1.55601107830012","2.14479484386928"
"1989","1.66158115592765","2.06734485778875"
"1990","2.16867971352034","2.90100389967443"
"1991","1.80641635137495","2.24932428058824"
"1992","2.37193317743089","3.45715171698607"
"1993","2.72273192454374","4.17744745812602"
"1994","2.64248574643889","4.16293715831706"
"1995","2.18344188242479","3.73065955917037"
"1996","1.85264131080699","3.3179435577372"
"1997","2.13177745","3.78830854"
"1998","1.73211189","3.2685103"
"1999","2.03429224","3.7818945"
"2000","1.46305292","2.756278834"
"2001","1.73447475","3.24952072"
"2002","2.01694338","3.597377962"
"2003","2.4338017","4.5337408"
"2004","2.13705342","4.05060232"
"2005","1.87013177","3.765889959"
"2006","1.7650627","4.0871657"
"2007","2.39039353","5.34656911"
"2008","2.81420018","6.654359355"
"2009","3.79317119","8.23685959"
"2010","2.10121377","5.0742799666"
"2011","3.14143108","8.122361738"
"2012","2.43308872","6.575015214"
"2013","1.42377791","4.040389916"
"2014","1.74685274","4.901027764"
"2015","1.35212798","3.885864668"
"2016","1.56563456","4.426826193"
"2017","1.61285557","4.494302808"
"2018","1.39941577","3.994353983"
"2019","1.30641885","3.8093343157"
"2020","0.83881838","2.57591652"
"2021","0.77068817","2.5772206636"
"2022","0.87060516","3.300746734"
"2023","1.0486857","3.87746693"
"2024","1.12551133","4.1139662956"
"2025","0.81543617","3.084452904"
