"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","SNAPPER, YELLOWTAIL","SNAPPER, YELLOWTAIL"
"1977","0.762342","0.669076"
"1978","0.830453","0.825527"
"1979","0.731598","0.860558"
"1980","0.625859596308061","0.841158351608077"
"1981","0.364743","0.520549451580655"
"1982","0.496148","0.692180444398796"
"1983","0.426720526408817","0.6058805590703"
"1984","0.541046","0.879213353530454"
"1985","0.435834","0.724642349216847"
"1986","0.521025100715901","0.115823242687345"
"1987","1.11263322","0.450121"
"1988","0.617787607203322","1.08577720492885"
"1989","0.925436346419157","1.47553519662113"
"1990","0.799110216499254","1.3409741790706"
"1991","0.645106444544972","1.16105980723677"
"1992","0.792917783540152","1.48103003568366"
"1993","1.04133974766472","1.89727298445428"
"1994","1.14456910800776","2.14793099229708"
"1995","0.576873784232957","1.05769180647161"
"1996","0.481560591836504","0.869180474635239"
"1997","0.22188969","0.41546691"
"1998","0.34453502","0.61776742"
"1999","0.60087612","1.03900584"
"2000","0.37722926","0.6844569"
"2001","0.19209863","0.36433593"
"2002","0.31890424","0.58311054"
"2003","0.46315594","0.83108033"
"2004","0.47611153","0.98951348"
"2005","0.54076223","1.20508546"
"2006","0.54306793","1.32483739"
"2007","0.31762809","0.76716324"
"2008","0.33280218","0.79768524"
"2009","0.68574394","1.4960941208"
"2010","0.36423037","0.96810099"
"2011","0.42960427","1.172093972"
"2012","0.39597244","1.12940337"
"2013","0.39415288","1.00730367"
"2014","0.46696804","1.3632692425"
"2015","0.50419273","1.4818811"
"2016","0.31779384","0.90061505"
"2017","0.6876271","1.94422559"
"2018","0.53294199","1.75281509"
"2019","0.49057678","1.4951252357"
"2020","0.21174133","0.63124374"
"2021","0.22750353","0.847244438"
"2022","0.29454308","1.17267713"
"2023","0.21819354","0.8769010608"
"2024","0.2287035","0.9715162927"
"2025","0.12492162","0.5531178268"
