"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","Snappers & Groupers","Snappers & Groupers"
"1977","0.420705","0.110827"
"1978","0.344876","0.091568"
"1979","0.33161","0.126665"
"1980","0.350442","0.137553"
"1981","0.505509","0.281573541072944"
"1982","0.42925","0.244930113695339"
"1983","0.314754","0.178836463265952"
"1984","0.242817","0.181188891382192"
"1985","0.301543","0.239962258482785"
"1986","2.31174995126809","0.746592830811101"
"1987","1.85522892939325","0.575720747943042"
"1988","1.6744506015416","2.50046348278836"
"1989","2.0086065839131","2.96210285944549"
"1990","1.96603251825753","3.05834299130717"
"1991","1.63938404095117","2.48438523407601"
"1992","1.56442617246403","2.5412919875571"
"1993","1.17437983613952","1.9243278466429"
"1994","0.919149296953571","1.57975621367141"
"1995","0.785860905199811","1.40284183110493"
"1996","0.623055480145622","1.22512299044626"
"1997","0.64781644","1.22883121"
"1998","0.61422186","1.21913588"
"1999","0.94735019","1.87718033"
"2000","1.04991879","2.147700336"
"2001","0.96515106","2.009470195"
"2002","0.85062162","1.716669712"
"2003","1.02729986","2.171516775"
"2004","0.94038399","2.02078306"
"2005","0.75489248","1.6837630795"
"2006","0.62750194","1.49564452"
"2007","0.54477874","1.4395553"
"2008","0.47331319","1.22904749"
"2009","0.49342923","1.19446494"
"2010","0.27596633","0.7057633986"
"2011","0.40878319","1.1614466624"
"2012","0.5338292","1.51659792"
"2013","0.42276109","1.317318427"
"2014","0.52292311","1.7072668496"
"2015","0.39539944","1.334559726"
"2016","0.36953971","1.2672121"
"2017","0.34807046","1.224169102"
"2018","0.34894034","1.361483378"
"2019","0.35338651","1.4581622231"
"2020","0.2903038","1.235667692"
"2021","0.27190308","1.2487280046"
"2022","0.24024526","1.2376543711"
"2023","0.26914869","1.4757588805"
"2024","0.23708279","1.2976760385"
"2025","0.16959006","0.9214087422"
