"indicator","Commercial landings","Commercial landings"
"unit","Whole weight (million lbs)","Million dollars ($)"
"extent","TRIGGERFISH, GRAY","TRIGGERFISH, GRAY"
"1993","0.02786","0.020424"
"1994","0.053761","0.035543"
"1995","0.050049","0.025895"
"1996","0.032834","0.024684"
"1997","0.026695","0.016151"
"1998","0.031095","0.022762"
"1999","0.102141","0.105582"
"2000","0.08774522","0.09285455"
"2001","0.06888678","0.07261587"
"2002","0.09299952","0.09857687"
"2003","0.09396019","0.10233853"
"2004","0.08655912","0.08717089"
"2005","0.04548596","0.04660931"
"2006","0.0327495","0.03010903"
"2007","0.0384864","0.0339258"
"2008","0.02736136","0.02538766"
"2009","0.01947588","0.02051242"
"2010","0.0116956","0.01305405"
"2011","0.0158974","0.01817119"
"2012","0.00899714","0.010659"
"2013","0.00690678","0.00953781"
"2014","0.02259735","0.04138181"
"2015","0.04749144","0.09160111"
"2016","0.05909452","0.11124679"
"2017","0.06264517","0.12349931"
"2018","0.06465505","0.13093083"
"2019","0.06237302","0.135785275"
"2020","0.05269212","0.114141636"
"2021","0.04493549","0.107920349"
"2022","0.04526567","0.121933747"
"2023","0.05441045","0.159041623"
"2024","0.05210646","0.1589548922"
"2025","0.02510671","0.077384045"
