"indicator","Far Offshore Capable Outboard Engine Sales","Far Offshore Capable Outboard Engine Sales","Far Offshore Capable Outboard Engine Sales","Far Offshore Capable Outboard Engine Sales","Far Offshore Capable Outboard Engine Sales"
"unit",">300 hp units sold",">300 hp units sold",">300 hp units sold",">300 hp units sold",">300 hp units sold"
"extent","Florida","Alabama","Mississippi","Louisiana","Texas"
"2013","4076","244","96","480","536"
"2014","4661","284","123","517","564"
"2015","6519","372","127","576","720"
"2016","7805","466","149","503","861"
"2017","9151","527","199","653","973"
"2018","10529","612","215","623","1189"
"2019","12227","753","244","773","1488"
"2020","14003","945","316","824","1727"
"2021","13845","875","296","655","1684"
"2022","15047","943","305","751","1723"
"2023","18070","980","352","989","2129"
"2024","15210","1039","361","936","1841"
