"year","commercial","recreational"
1983,331,331
1984,100.8,100.8
1985,365,365
1986,347.619047619048,347.619047619048
1987,365,365
1988,357.428571428571,357.428571428571
1989,365,365
1990,351.875,358.625
1991,359.583333333333,365
1992,348.32,360.88
1993,354.16,365
1994,353.48,365
1995,352.48,365
1996,354.8,366
1997,353.2,365
1998,349.24,365
1999,347.56,363.52
2000,349.416666666667,366
2001,346.166666666667,365
2002,346.583333333333,365
2003,346.625,365
2004,334.791666666667,366
2005,328.833333333333,354.833333333333
2006,337.708333333333,365
2007,348.166666666667,362.583333333333
2008,350.25,363.5
2009,348.625,358.458333333333
2010,358.458333333333,357.625
2011,355,344.875
2012,345.583333333333,339.833333333333
2013,350.083333333333,342.125
2014,353.25,334.416666666667
2015,351.708333333333,332.5
2016,352.625,341.833333333333
2017,348.666666666667,331.708333333333
2018,346.083333333333,339.583333333333
2019,347.75,334.25
2020,359.625,339.125
2021,355.875,331.833333333333
2022,356.666666666667,335.166666666667
2023,350.416666666667,325.833333333333
2024,344.208333333333,327.125
2025,358.625,332.666666666667
