"year","commercial","recreational"
1983,2.72054794520548,2.72054794520548
1984,5.50819672131148,5.50819672131148
1985,20,20
1986,20,20
1987,20,20
1988,20.5081967213115,20.5081967213115
1989,21,21
1990,23.1369863013699,23.5808219178082
1991,23.6438356164384,24
1992,23.792349726776,24.6502732240437
1993,24.2575342465753,25
1994,24.2109589041096,25
1995,24.1424657534247,25
1996,24.2349726775956,25
1997,24.1917808219178,25
1998,23.9205479452055,25
1999,23.8054794520548,24.8986301369863
2000,22.9125683060109,24
2001,22.7616438356164,24
2002,22.7890410958904,24
2003,22.7917808219178,24
2004,21.9535519125683,24
2005,21.6219178082192,23.3315068493151
2006,22.2054794520548,24
2007,22.8931506849315,23.841095890411
2008,22.9672131147541,23.8360655737705
2009,22.9232876712329,23.5698630136986
2010,23.5698630136986,23.5150684931507
2011,23.3424657534247,22.6767123287671
2012,22.6612021857923,22.2841530054645
2013,23.0191780821918,22.4958904109589
2014,23.227397260274,21.9890410958904
2015,23.1260273972603,21.8630136986301
2016,23.1229508196721,22.4153005464481
2017,22.9260273972603,21.8109589041096
2018,22.7561643835616,22.3287671232877
2019,22.8657534246575,21.9780821917808
2020,23.5819672131148,22.2377049180328
2021,23.4,21.8191780821918
2022,23.4520547945205,22.0383561643836
2023,23.041095890411,21.4246575342466
2024,22.5710382513661,21.4508196721311
2025,23.5808219178082,21.8739726027397
