"indicator","Hypoxia Extent"
"unit","Square kilometers"
"extent","Louisiana-Texas Shelf"
"1985","9777.2051165184"
"1986","9595.90594879488"
"1987","6689.93928899789"
"1988","38.84982165504"
"1989",NA
"1990","9422.37674540237"
"1991","11924.3052599869"
"1992","10808.0203844321"
"1993","17526.4495426437"
"1994","16687.2933948948"
"1995","17226.0109218447"
"1996","17927.8976997458"
"1997","15956.9167477801"
"1998","12483.7426918195"
"1999","20007.6581523456"
"2000","4400.38979946086"
"2001","19847.0788895048"
"2002","22007.128973525"
"2003","8324.2217866199"
"2004","14646.3827639501"
"2005","11805.1658069115"
"2006","16565.5639537091"
"2007","20486.8059527578"
"2008","21771.4400554844"
"2009","8243.93215519949"
"2010","18407.045500158"
"2011","17687.0288054845"
"2012","7482.4756507607"
"2013","15125.5305643622"
"2014","13084.6199334175"
"2015","16767.5830263153"
"2016",NA
"2017","22729.7356563087"
"2018","7044.76766011392"
"2019","18005.5973430559"
"2020","5480.41484147097"
"2021","16404.9846908682"
"2022","8482.2110613504"
"2023","7920.18364140749"
"2024","17365.8702798029"
"2025","11401.1276616991"
