"indicator","Biomass (1000s metric tons)","Recruitment (Log Deviations)"
"unit","1000s metric tons","Log Deviations"
"extent","SEDAR97 Menhaden","SEDAR97 Menhaden"
"1977","1719.647","0.3646143"
"1978","2421.01","0.2378017"
"1979","2374.917","-0.251378"
"1980","1758.525","0.3851746"
"1981","2335.951","0.3532928"
"1982","2657.749","0.04099024"
"1983","2187.981","0.1663321"
"1984","2085.445","0.5472874"
"1985","2693.003","0.06512675"
"1986","2236.16","0.2447103"
"1987","2278.456","-0.3170066"
"1988","1583.663","-0.318519"
"1989","1361.261","-0.1058025"
"1990","1491.294","-0.4228291"
"1991","1288.511","-0.7718427"
"1992","939.4743","-0.2020747"
"1993","1259.23","0.04003583"
"1994","1645.965","-0.5529307"
"1995","1168.535","0.004990978"
"1996","1587.326","0.03681759"
"1997","1844.721","-0.2959574"
"1998","1542.39","0.2070001"
"1999","2040.493","0.1526531"
"2000","2128.255","-0.1344413"
"2001","1861.336","-0.03169195"
"2002","1864.192","-0.4365351"
"2003","1437.83","-0.04398923"
"2004","1635.384","0.07595134"
"2005","1915.308","-0.278584"
"2006","1680.841","0.3604594"
"2007","2373.13","0.5219537"
"2008","3047.462","-1.27153"
"2009","1671.179","-0.09284086"
"2010","1701.921","0.5728763"
"2011","2832.317","0.333261"
"2012","2848.427","0.2556896"
"2013","2726.881","-0.1896084"
"2014","2127.933","0.207227"
"2015","2366.141","0.02100308"
"2016","2156.88","0.4345524"
"2017","2730.272","-0.3694558"
"2018","1990.6","0.4871546"
"2019","2722.332","-0.3541573"
"2020","1981.51","0.3719884"
"2021","2552.879","0.2147749"
"2022","2630.297","0.7010151"
"2023","3556.897","-0.96356"
