"indicator","Percentage of US Gulf EEZ","Cummulative Intensity (Degree-Days)"
"unit","Percentage","Degree-Days"
"extent","Marine Heatwaves","Marine Heatwaves"
"1982","0.970037453183521","17.6474106097872"
"1983","0.544943820224719","16.8932734656942"
"1984","0.534644194756554","15.5602128094827"
"1985","0.681647940074906","13.9782510186609"
"1986","0.833333333333333","18.3301756142776"
"1987","0.487827715355805","10.326644882789"
"1988","0.209737827715356","21.1850880824603"
"1989","0.779026217228464","21.2140777814512"
"1990","0.856741573033708","17.808006005058"
"1991","0.713483146067416","15.2586075049352"
"1992","0.502808988764045","11.9793466008756"
"1993","0.74812734082397","14.3320137281971"
"1994","0.72940074906367","16.5865993493255"
"1995","0.971910112359551","15.6243323017692"
"1996","0.573970037453184","11.4442827074151"
"1997","0.878277153558052","15.1037181425999"
"1998","0.970037453183521","17.6594354464727"
"1999","0.98314606741573","16.8962057603695"
"2000","0.905430711610487","16.2159249707004"
"2001","0.879213483146067","18.8969245155386"
"2002","0.9812734082397","37.4540278792681"
"2003","0.832397003745318","19.5183551037206"
"2004","0.934456928838951","18.729800221158"
"2005","0.874531835205993","17.9353386955295"
"2006","0.99625468164794","19.1924811564881"
"2007","0.970973782771536","18.0653201641674"
"2008","0.833333333333333","18.2982608210656"
"2009","0.999063670411985","19.7289640269885"
"2010","1","19.5607420906975"
"2011","0.993445692883895","17.9829347266335"
"2012","0.99812734082397","28.5242923906753"
"2013","0.813670411985019","20.7087587180891"
"2014","0.948501872659176","22.4185585565097"
"2015","1","34.2627300459551"
"2016","1","41.592975379298"
"2017","1","28.6068665376648"
"2018","1","34.224534432501"
"2019","1","28.1997560623596"
"2020","1","29.6586277789217"
"2021","0.99063670411985","37.3391660043578"
"2022","1","32.6249041127715"
"2023","1","53.5621755377034"
"2024","1","56.8338822306324"
"2025","1","29.8540610262604"
