"indicator","Sea Surface Temperature","Sea Surface Temperature"
"unit","Anomaly (°C)","Anomaly (°C)"
"extent","Gulf-wide","US Gulf EEZ"
"1982-01","-0.2052296324","-0.454887274"
"1982-02"," 0.1255123521","-0.071945592"
"1982-03"," 0.3804417413"," 0.449555849"
"1982-04"," 0.4373438962"," 0.251822532"
"1982-05","-0.2675858292","-0.109110732"
"1982-06"," 0.1143614003"," 0.365062479"
"1982-07"," 0.2949771463"," 0.675651433"
"1982-08"," 0.1544324537"," 0.331880809"
"1982-09","-0.0638073035"," 0.033276504"
"1982-10"," 0.0306188759"," 0.104673399"
"1982-11","-0.1004415271","-0.245981389"
"1982-12"," 0.1898555762"," 0.229019072"
"1983-01","-0.0952128390","-0.333417489"
"1983-02","-0.4745768932","-0.786084959"
"1983-03","-0.6871204311","-1.100274660"
"1983-04","-1.3433327297","-1.695614158"
"1983-05","-0.7227852334","-1.070067218"
"1983-06","-0.1515675268","-0.513928215"
"1983-07"," 0.0920228099","-0.003883832"
"1983-08"," 0.1911818222","-0.038426977"
"1983-09","-0.2645281424","-0.515830841"
"1983-10"," 0.1146507688","-0.195387386"
"1983-11","-0.0812376641","-0.344433699"
"1983-12"," 0.1027316404","-0.429426881"
"1984-01","-0.5391953738","-1.147758981"
"1984-02","-0.7462398339","-1.130962973"
"1984-03","-1.0651866996","-1.606910237"
"1984-04","-0.8155162215","-1.036093719"
"1984-05","-0.5953982973","-0.546564500"
"1984-06","-0.9095729591","-0.940264207"
"1984-07","-0.3928307948","-0.365314701"
"1984-08","-0.7149685305","-0.682521146"
"1984-09","-0.7440819375","-0.661550681"
"1984-10","-0.5388253333","-0.514174251"
"1984-11","-0.3699591067","-0.359321702"
"1984-12","-0.4750809737","-0.572439456"
"1985-01","-0.5541441902","-0.725176406"
"1985-02","-0.9595193365","-1.072862840"
"1985-03"," 0.1728544517"," 0.283200720"
"1985-04","-0.1789225894","-0.139136258"
"1985-05"," 0.3082837074"," 0.350526807"
"1985-06","-0.0146779840","-0.028792954"
"1985-07","-0.4708471210","-0.539967838"
"1985-08","-0.2915340469","-0.420258579"
"1985-09","-0.4309898898","-0.689739116"
"1985-10"," 0.0833201419","-0.036976812"
"1985-11","-0.2557400030","-0.289920572"
"1985-12","-0.2587295375","-0.372533368"
"1986-01","-0.1750197871","-0.181158460"
"1986-02","-0.2059171894","-0.303373095"
"1986-03","-0.5232574950","-0.581087061"
"1986-04","-0.6964158745","-0.659088069"
"1986-05","-0.4503047650","-0.385683594"
"1986-06"," 0.0435516825"," 0.292267531"
"1986-07","-0.1529785774"," 0.013749075"
"1986-08","-0.2719245316","-0.318727688"
