"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,5371.72,11.8426013464,1
2001,5376.13,11.8523237206,1
2002,4993.44,11.0086376928,1
2003,4944.3,10.900302666,1
2004,4635.42,10.2193396404,1
2005,4663.77,10.2818406174,1
2006,5327.19,11.7444296178,1
2007,5441.56,11.9965720072,1
2008,5263.44,11.6038850928,1
2009,5724.78,12.6209644836,1
2010,6417.71,14.1486118202,1
2011,6417.65,14.148479543,1
2012,5877.45,12.957543819,1
2013,5797.82,12.7819899284,1
2014,5843.61,12.8829394782,1
2015,5431.98,11.9754517476,1
2016,5229.76,11.5296334912,1
2017,4831.3,10.651180606,1
2018,5100.68,11.2450611416,1
