"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,11302.3,24.917276626,1
2001,10805.8,23.822682796,1
2002,11568.4,25.503926008,1
2003,12075.9,26.622770658,1
2004,12039.1,26.541640642,1
2005,11731,25.86239722,1
2006,4774.31,10.5255393122,1
2007,4416.17,9.7359767054,1
2008,4445.32,9.8002413784,1
2009,4269.2,9.411963704,1
2010,5091.8,11.225484116,1
2011,5159.87,11.3755525994,1
2012,5466.2,12.050893844,1
2013,6403.43,14.1171298466,1
2014,5996.29,13.2195408598,1
2015,2414.77,5.3236502374,1
2016,2532,5.58209784,1
2017,2499.49,5.5104256438,1
2018,2696.91,5.9456617242,1
2019,2821.82,6.2210408084,1
