"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,15522.7,34.221654874,1
2001,15894.5,35.04133259,1
2002,15494,34.15838228,1
2003,16046.2,35.375773444,1
2004,16067.1,35.421850002,1
2005,15997.1,35.267526602,1
2006,16463.7,36.296202294,1
2007,17330.5,38.20716691,1
2008,18599,41.00372738,1
2009,18554.1,40.904739942,1
2010,18182.7,40.085944074,1
2011,18868.4,41.597652008,1
2012,19612.4,43.237889288,1
2013,19860.3,43.784414586,1
2014,20724.2,45.688985804,1
2015,19988.6,44.067267332,1
2016,20503.1,45.201544322,1
2017,20154.5,44.43301379,1
2018,20982,46.25733684,1
2019,21864.4,48.202693528,1
2020,23719.6,52.292704552,1
