"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,4648.89,10.2490358718,1
2001,6068.02,13.3776782524,1
2002,7658.12,16.8832445144,1
2003,7848.96,17.3039741952,1
2004,6467.38,14.2581152956,1
2005,5539.01,12.2114122262,1
2006,4408.84,9.7198168408,1
2007,4087.48,9.0113401576,1
2008,4903.84,10.8111037408,1
2009,5839.16,12.8731289192,1
2010,6878.41,15.1642802542,1
2011,5688.53,12.5410470086,1
2012,5443.54,12.0009371548,1
2013,5541.49,12.2168796838,1
2014,5142.22,11.3366410564,1
2015,5328.28,11.7468326536,1
2016,5274.54,11.6283563748,1
2017,4779.45,10.536871059,1
2018,4751.36,10.4749432832,1
