"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,1339.07,2.9521405034,1
2001,1352.56,2.9818808272,1
2002,1317.12,2.9037490944,1
2003,1329.65,2.931372983,1
2004,1244.19,2.7429661578,1
2005,1183.66,2.6095205092,1
2006,1208.79,2.6649226098,1
2007,1402.88,3.0928173056,1
2008,1573.21,3.4683302302,1
2009,1726.64,3.8065850768,1
2010,1838.3,4.052752946,1
2011,1846.34,4.0704780908,1
2012,1920.86,4.2347663732,1
2013,1947.99,4.2945777138,1
2014,1872.51,4.1281729962,1
2015,1858.37,4.0969996694,1
2016,1811.73,3.9941761926,1
