"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,27780.1,61.244564062,1
2001,26536.2,58.502237244,1
2002,24353.7,53.690654094,1
2003,26428.2,58.264138284,1
2004,29201.6,64.378431392,1
2005,31514.5,69.47749699,1
2006,34219.3,75.440553166,1
2007,35473.3,78.205146646,1
2008,36582.9,80.651392998,1
2009,37164.8,81.934261376,1
2010,36539,80.55461018,1
2011,35041.6,77.253412192,1
2012,32590.4,71.849447648,1
2013,28979.7,63.889226214,1
2014,28347.8,62.496126836,1
2015,27377.3,60.356543126,1
2016,28029.5,61.79439629,1
2017,29525.9,65.093389658,1
