"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,3858.81,8.5072097022,1
2001,4035.53,8.8968101486,1
2002,4313.44,9.5094960928,1
2003,4511.06,9.9451730972,1
2004,4779.29,10.5365183198,1
2005,4979.82,10.9786107684,1
2006,5733.39,12.6399462618,1
2007,5731.38,12.6355149756,1
2008,6091.7,13.429883654,1
2009,5651.45,12.459299699,1
2010,5862.8,12.925246136,1
2011,6240.79,13.7585704498,1
2012,6838.59,15.0764922858,1
2013,7034.19,15.5077159578,1
2014,7235.52,15.9515721024,1
2015,7570.41,16.6898772942,1
2016,8199.17,18.0760541654,1
2017,8623.87,19.0123562794,1
2018,9199.45,20.281291459,1
2019,10324.9,22.762481038,1
2020,11293.7,24.898316894,1
2021,12688.2,27.972659484,1
2022,13964.7,30.786856914,1
2023,15131.8,33.359868916,1
