"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,31017,68.38069854,1
2001,31554.8,69.566343176,1
2002,31549.9,69.555540538,1
2003,33667.6,74.224264312,1
2004,33905.1,74.747861562,1
2005,32808.7,72.330716194,1
2006,26639.7,58.730415414,1
2007,31167.1,68.711612002,1
2008,34873.4,76.882595108,1
2009,36011.5,79.39167313,1
2010,37168.5,81.94241847,1
2011,37534.7,82.749750314,1
2012,36084.9,79.553492238,1
2013,33464.2,73.775844604,1
2014,29533.5,65.11014477,1
2015,23357.5,51.49441165,1
2016,23615.6,52.063424072,1
2017,23591.2,52.009631344,1
2018,24394.2,53.779941204,1
2019,25388.8,55.972656256,1
2020,27888.8,61.484206256,1
2021,30837.5,67.98496925,1
2022,31551.1,69.558186082,1
