"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,4868.26,10.7326633612,2
2001,5235.08,11.5413620696,2
2002,5851.21,12.8996945902,2
2003,5052.83,11.1395700746,2
2004,4869.58,10.7355734596,2
2005,4662.13,10.2782250406,2
2006,5020.25,11.067743555,2
2007,9108.85,20.081552887,2
2008,12014.1,26.486525142,2
2009,17438.6,38.445486332,2
2010,18850.8,41.558850696,2
2011,20855.1,45.977570562,2
2012,19874.7,43.816161114,2
2013,18732.8,41.298705536,2
2014,17593,38.78587966,2
2015,18384.3,40.530395466,2
2016,19859,43.78154858,2
2017,22091.9,48.704244578,2
2018,22338.2,49.247242484,2
2019,24499.7,54.012528614,2
