"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,2484.48,5.4773342976,1
2001,2439.99,5.3792507538,1
2002,2645.62,5.8325867644,1
2003,2924.52,6.4474552824,1
2004,2834.62,6.2492599444,1
2005,2999.14,6.6119640268,1
2006,2952.29,6.5086775798,1
2007,2887.29,6.3653772798,1
2008,2756.06,6.0760649972,1
2009,2694.66,5.9407013292,1
2010,2779.69,6.1281601678,1
2011,2735.84,6.0314875808,1
2012,2657.1,5.857895802,1
2013,2459.68,5.4226597216,1
2014,2296.02,5.0618516124,1
2015,2091.18,4.6102572516,1
2016,1836.96,4.0497987552,1
2017,1631.68,3.5972343616,1
2018,1644.39,3.6252550818,1
2019,1518.45,3.347605239,1
2020,1383.3,3.049650846,1
