"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,13598.9,29.980406918,1
2001,14073,31.02561726,1
2002,13008.2,28.678137884,1
2003,11617.8,25.612834236,1
2004,12590,27.7561658,1
2005,13763.1,30.342405522,1
2006,15260.2,33.642942124,1
2007,13948.7,30.751582994,1
2008,14095,31.0741189,1
2009,13638.3,30.067268946,1
2010,11757.9,25.921701498,1
2011,12458.8,27.466919656,1
2012,12848.5,28.32606007,1
2013,11936.5,26.31544663,1
2014,10407.5,22.94458265,1
2015,10515.3,23.182240686,1
2016,12160,26.8081792,1
2017,14053.7,30.983068094,1
2018,12188.1,26.870129022,1
2019,13143.3,28.975982046,1
2020,13813.7,30.453959294,1
2021,14668.1,32.337586622,1
