"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,16895.2,37.247495824,2
2001,16669.2,36.749251704,2
2002,16845.6,37.138146672,2
2003,17003.9,37.487138018,2
2004,17804.1,39.251274942,2
2005,18284.3,40.309933466,2
2006,19341.6,42.640878192,2
2007,20161.1,44.447564282,2
2008,21963.1,48.420289522,2
2009,26007,57.33555234,2
2010,30216.2,66.615238844,2
2011,35499.7,78.263348614,2
2012,40981.7,90.349075454,2
2013,45418.3,100.130092546,2
2014,50831.3,112.063700606,2
2015,56291.3,124.100925806,2
2016,61424.2,135.417019804,2
2017,66439.9,146.474732338,2
