"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,3553.03,7.8330809986,1
2001,3474.94,7.6609222228,1
2002,3502.06,7.7207115172,1
2003,3577.18,7.8863225716,1
2004,3544.91,7.8151794842,1
2005,3559.95,7.848336969,1
2006,3562.81,7.8546421822,1
2007,3586.28,7.9063846136,1
2008,3492.49,7.6996133038,1
2009,3406.76,7.5106112312,1
2010,3320.47,7.3203745714,1
2011,3342.64,7.3692509968,1
2012,3328.51,7.3380997162,1
2013,3235.63,7.1333346106,1
2014,3157.92,6.9620135904,1
2015,3015.58,6.6482079796,1
2016,2912.59,6.4211541658,1
2017,2835.92,6.2521259504,1
2018,2749.77,6.0621979374,1
2019,2613.64,5.7620830168,1
2020,2468.61,5.4423469782,1
2021,2363.04,5.2096052448,1
