"Yr","Bio_smry","Bio_mil_lbs","Area"
2000,3283.91,7.2397736642,1
2001,3269.22,7.2073877964,1
2002,3438.2,7.579924484,1
2003,3671.45,8.094152099,1
2004,3816.4,8.413711768,1
2005,3997.91,8.8138723442,1
2006,4405.43,9.7122990866,1
2007,4532.69,9.9928590278,1
2008,4618.32,10.1816406384,1
2009,4346.82,9.5830863084,1
2010,4324.04,9.5328650648,1
2011,4447.97,9.8060836214,1
2012,4719.19,10.4040206578,1
2013,5079.44,11.1982350128,1
2014,5346.23,11.7864055826,1
2015,5576.07,12.2931154434,1
2016,5888.2,12.981243484,1
2017,5926.57,13.0658347534,1
2018,5599.49,12.3447476438,1
2019,5372.4,11.844100488,1
2020,5485.6,12.093663472,1
2021,5844.43,12.8847472666,1
2022,6131.21,13.5169881902,1
2023,6612.14,14.5772560868,1
