"COMMON_NAME_USE","SPP_TYPE","SPP_NAME","MANAGEMENT_TYPE_USE","START_YEAR","SECTOR","SUBSECTOR","VALUE","VALUE_UNITS","VALUE_TYPE"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","QUOTA",2008,"COMMERCIAL","ALL",503000,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","QUOTA",2008,"RECREATIONAL","ALL",1368000,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","QUOTA",2010,"COMMERCIAL","ALL",373072,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","QUOTA",2010,"RECREATIONAL","ALL",1243184,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","QUOTA",2011,"COMMERCIAL","ALL",342091,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","QUOTA",2011,"RECREATIONAL","ALL",1315224,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2012,"ALL","ALL",1780000,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2012,"COMMERCIAL","ALL",481000,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2012,"RECREATIONAL","ALL",1299000,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2013,"COMMERCIAL","ALL",410157,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2014,"RECREATIONAL","ALL",1057829,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2016,"COMMERCIAL","ALL",464400,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2016,"RECREATIONAL","ALL",1197670,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2017,"RECREATIONAL","ALL",862860,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2018,"COMMERCIAL","ALL",319410,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2018,"RECREATIONAL","ALL",1086970,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2019,"COMMERCIAL","ALL",402030,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2019,"RECREATIONAL","ALL",1309620,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2020,"COMMERCIAL","ALL",484380,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2020,"RECREATIONAL","ALL",1309620,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","ACL",2023,"ALL","ALL",505000,"POUNDS","ROUND (WHOLE) WEIGHT"
"AMBERJACK, GREATER","COMMON_NAME","AMBERJACK, GREATER","QUOTA",2023,"COMMERCIAL","ALL",93930,"POUNDS","ROUND (WHOLE) WEIGHT"
