"test"
"SEATROUT, SPOTTED"
"SEATROUT, SAND"
"GROUPER, BLACK"
"SCAMP"
"POMPANO, FLORIDA"
"KINGFISHES"
"GROUPER, YELLOWEDGE"
"SNAPPERS"
"TUNA, SKIPJACK"
"SNAPPER, GRAY"
"SHEEPSHEAD"
"OSTEICHTHYES"
"RAYS"
"SPOT"
"PERCH, SAND"
"MULLET, WHITE"
"TILEFISH, GOLDEN"
"GRUNTS"
"SWORDFISH"
"PINFISH"
"JACKS"
"MULLET, STRIPED"
"PERMIT"
"DRUM, RED"
"CRAB, BLUE"
"SNAPPER, LANE"
"FLOUNDERS, PARALICHTHYS"
"GROUPER, RED"
"PORGIES"
"MACKEREL, SPANISH"
"SNAPPER, MUTTON"
"CROAKER, ATLANTIC"
"DRUM, BLACK"
"SNAPPER, RED"
"GROUPERS"
"JACK, CREVALLE"
"COBIA"
"SHAD, AMERICAN"
"LADYFISH"
"HERRING, ATLANTIC THREAD"
"SPADEFISH, ATLANTIC"
"GROUPER, GOLIATH"
"TUNA, LITTLE TUNNY"
"SNAPPER, VERMILION"
"TILAPIAS"
"WEAKFISH"
"TUNA, YELLOWFIN"
"MENHADEN, ATLANTIC"
"BUTTERFISH,GULF"
"CRAB, STONE"
"DOLPHIN"
"SNAPPER, SILK"
"AMBERJACK, GREATER"
"RUNNER, BLUE"
"MACKEREL, KING"
"SHRIMP, NORTHERN PINK"
"BUMPER, ATLANTIC"
"MARLIN, BLUE"
"SHARK, MAKO, SHORTFIN"
"OCTOPUSES"
"SNAPPER, YELLOWTAIL"
"ANCHOVIES"
"CRUSTACEANS"
"HIND, SPECKLED"
"SEATROUT, SILVER"
"SHARKS, SMALL COASTAL"
"LOBSTER, SPANISH"
"ANGELFISHES"
"BASSES, MIXED SEA"
"CRAB, GOLDEN DEEPSEA"
"SNAPPER, BLACKFIN"
"OYSTER, EASTERN"
"TUNA, BLUEFIN"
"TUNA, BIGEYE"
"SHRIMP, ROCK"
"SNAPPER, QUEEN"
"MARLIN, WHITE"
"SHARK, BLACKTIP"
"SNAPPER, BLACK"
"SCAD, ROUND"
"HOGFISH"
"SHRIMPS, BAIT"
"SHARKS"
"SNAIL, OTHER"
"SARDINE, SPANISH"
"CATFISHES, SEA"
"GROUPER, GAG"
"GROUPER, YELLOWFIN"
"GROUPER, SNOWY"
"BLUEFISH"
"POMPANO, AFRICAN"
"MOJARRAS"
"GROUPER, WARSAW"
"TUNA, BLACKFIN"
"LOBSTER, CARIBBEAN SPINY"
"WAHOO"
"TILEFISH, BLUELINE"
"TRIGGERFISHES"
"SQUIDS"
"LOOKDOWN"
"SHRIMPS, PENAEOID"
"SHRIMP, NORTHERN BROWN"
"FLOUNDER, GULF"
"SHRIMP, NORTHERN WHITE"
"CLAM, SOUTHERN QUAHOG"
"GOATFISHES"
"SHRIMP, ROYAL RED"
"CLAM, NORTHERN QUAHOG"
"EELS"
"BALLYHOOS"
"CERO"
"GROUPER, NASSAU"
"EELS, CONGER"
"BARRACUDA, GREAT"
"BASS, ROCK SEA"
"SHARKS, PELAGIC"
"HERRINGS"
"SHARK, BONNETHEAD"
"SPEARFISH, LONGBILL"
"CRAB, HORSESHOE"
"BASS, BANK SEA"
"CRABS, FIDDLER"
"FLOUNDER, SOUTHERN"
"CUTLASSFISHES"
"CONCH, FLORIDA FIGHTING"
"SARDINE, SCALED"
"EELS, CUSK"
"MACKEREL, ATLANTIC CHUB"
"SHRIMPS, PISTOL OR SNAPPING"
"CRAB, FALSE ARROW"
"SEAHORSES"
"HIPPOSPONGIA"
"SPONGE, YELLOW"
"AMBERJACK, LESSER"
"TUNAS"
"HARVESTFISH, NORTHERN"
"HIND, ROCK"
"SHARK, SANDBAR"
"SPONGES"
"HIND, RED"
"JACK, ALMACO"
"SNAPPER, DOG"
"SURGEONFISHES"
"SNAPPER, CUBERA"
"STAR, BLACK BRITTLE"
"SPONGE, GRASS"
"PARROTFISHES"
"SHARK, BULL"
"ANEMONE, GIANT CARIBBEAN"
"CRAB, YELLOWLINE ARROW"
"FISHES, RAY-FINNED"
"GRAYSBY"
"ANGELFISH, QUEEN"
"BASS, BLACK SEA"
"TILEFISH, GOLDFACE"
"EEL, MORAYS"
"SHARKS, HAMMERHEAD"
"SNAPPER, MAHOGANY"
"SHARK, LEMON"
"CONCH, QUEEN"
"TRIPLETAIL"
"OILFISH"
"GROUPER, MISTY"
"SCORPIONFISHES"
"BARRELFISH"
"SHARK, DUSKY"
"FLOUNDER, SUMMER"
"TUNA, ALBACORE"
"SHARK, THRESHER"
"SHARK, TIGER"
"GROUPER, YELLOWMOUTH"
"ALGAE, GREEN"
"SHARK, BLACKNOSE"
"SQUIRRELFISHES"
"JACK, BAR"
"PORGY, KNOBBED"
"SNAPPER, CARIBBEAN RED"
"PUFFERS"
"SCHOOLMASTER"
"WENCHMAN"
"SKATES"
"GROUPER, CONEY"
"PORGY, RED"
"URCHIN, PURPLE-SPINED SEA"
"SHARK, SILKY"
"TILEFISH, SAND"
"SCALLOP, BAY"
"SCALLOP, ATLANTIC CALICO"
"HERRING, ROUND"
"ESCOLAR"
"RUDDERFISH, BANDED"
"BREAM, RED"
"JACK, HORSE-EYE"
"TURBINIDAE"
"JACK, YELLOW"
"GROUPER, TIGER"
"SHARK, ATLANTIC SHARPNOSE"
"FLATFISHES"
"FISHES, BUFFALO"
"CATFISH, CHANNEL"
"DOLPHINFISH"
"FROGS"
"CATFISH, BLUE"
"GARFISHES"
"MENHADENS"
"AMBERJACKS"
"GROUPER, MARBLED"
"MACKERELS, KING AND CERO"
"DRUM, FRESHWATER"
"HAKES, RED AND WHITE"
"CRAYFISHES, FRESHWATER"
"CATFISH, FLATHEAD"
"BROTULA, BEARDED"
"SCULPINS"
"MINNOWS"
"TURTLES, SNAPPING"
"LOBSTERS, SLIPPER"
"SHRIMP, ROUGHNECK"
"BONITO, ATLANTIC"
"HARVESTFISHES"
"CATFISHES, FORKTAIL"
"CARP, COMMON"
"OPAH"
"DRIFTFISH, BLACK"
"CARP, GRASS"
"BOWFIN"
"FLAG, SPANISH"
"BASS, LONGTAIL"
"BARRACUDAS"
"SARDINE, PACIFIC"
"SHARK, PORBEAGLE"
"TRIGGERFISH, GRAY"
"SHRIMPS, ROCK"
"SHRIMP, ATLANIC SEABOB"
"SCADS"
"SQUIDS, LOLIGINIDAE"
"RUNNER, RAINBOW"
"WHITEFISHES"
"CATFISHES, CHANNEL"
"SPADEFISH"
"ROVER, CRIMSON"
"BIGEYE"
"REPTILES"
"PORGY, WHITEBONE"
"TRIGGERFISH, QUEEN"
"SCORPIONFISH, SPINYCHEEK"
"RUDDERFISH"
"HAKE, WHITE"
"TILEFISHES"
"EEL, AMERICAN"
"ALLIGATOR"
"CUTLASSFISH, ATLANTIC"
"MARGATE"
"MOONFISH, ATLANTIC"
"SHARK, MAKO, LONGFIN"
"TILEFISH, BLACKLINE"
"SHARK, SAND TIGER"
"BIGEYE, SHORT"
"SCORPIONFISH, SPOTTED"
"SUNFISHES"
"Leatherskin, Largemouthed"
"PORGY, JOLTHEAD"
"EEL, CONGER"
"SHARKS, DOGFISH"
"JACK, BLACK"
"HAKE, RED"
"CREOLE-FISH"
"STURGEONS"
"DOGFISH, SPINY"
"SQUID, LONGFIN LOLIGO"
"SHARK, THRESHER, BIGEYE"
"CRAB, FLORIDA STONE"
"CUSK"
"SHARK, TOPE"
"STURGEON, SHOVELNOSE"
"LOBSTER, AMERICAN"
"SHARK, SPINNER"
"SHARK, BLUE"
"MULLETS"
"DOGFISH, SMOOTH"
"SHAD, GIZZARD"
"MARLINS"
"SHARK, WHITE"
"SHARK, NURSE"
"SAILFISH"
"SAWFISH, SMALLTOOTH"
"MARLIN, BLACK"
"SPEARFISHES"
"PADDLEFISH"
"TURTLES, SOFT-SHELL"
"BLACKFISH, SACRAMENTO"
"PIGFISH"
"SNAPPER, JOBFISH OR UKU"
"CRABS, SHRIMPS, LOBSTERS"
"TERRAPIN, DIAMONDBACK"
"SUCKERS"
"POMFRETS"
"DRUMS"
"STINGRAYS"
"SHRIMPS, MANTIS"
"EELS, SNAKE"
"GOOSEFISH"
"MOONEYES"
"CRAB, RED DEEPSEA"
"BALLYHOO"
"HAGFISHES"
"ARMORHEAD, PELAGIC"
"SKIPJACK, BLACK"
"ROSEFISH, BLACKBELLY"
"SHAD, THREADFIN"
"MUSSELS, FW,PEARLS&SLUGS"
"FLYINGFISHES"
"CRAB"
"SHARK, COOKIECUTTER"
"SHRIMP, FW"
"HADDOCK"
"HAKE, OFFSHORE"
"SPLITTAIL"
"TRIGGERFISH, OCEAN"
"SNAPPER, GLASSEYE"
"MACKEREL, FRIGATE"
"FLOUNDER, FOURSPOT"
"NEEDLEFISH, ATLANTIC"
"MACKERELS"
"TURTLES, SLIDERS"
"SALMON, ATLANTIC"
"SHRIMP, PINK-SPECKLED"
"SHARK, HAMMERHEAD, GREAT"
"SNOOK, COMMON"
"RANGIA, ATLANTIC"
"JACKKNIFE-FISH"
"HERRINGS, RIVER"
"TURTLE, GREEN"
"TURTLE, LOGGERHEAD"
"SPONGES,SHEEPSWOOL"
"TURTLES, PAINTED"
"SNAILS (CONCH)"
"VENUS, SUNRAY"
"CLAMS, MERCENARIA QUAHOG"
"SPONGE, GLOVE"
"PROCAMBARUS"
"GAR, LONGNOSE"
"GAR, ALLIGATOR"
"BUTTERFISH"
"JACK, BLUNTNOSE"
"CARP, BIGHEAD"
"CATFISH, HARDHEAD"
"GAR, SPOTTED"
"SHARK, FINETOOTH"
"SHARK, HAMMERHEAD, SCALLOPED"
"TURTLES, NORTH AMERICAN SOFTSHELL"
"RAVEN, SEA"
"SHRIMP,FARFANTEPENAEUS"
"CARP, SILVER"
"GAR, SHORTNOSE"
"TILEFISH, ANCHOR"
"FLORIDA ROCKSNAIL"
"TREEFROG, GREEN"
"TURTLE, MUD"
"SHRIMPS, PALAEMONETES"
"BULLHEADS"
"SPRING PEEPER"
"SCAD, BIGEYE"
"SQUID, ATLANTIC BRIEF"
"TURTLE, COMMON MUSK"
"KINGFISH, GULF"
"LEATHERJACK"
"KINGFISH, SOUTHERN"
"SHRIMP, MARINE"
"CODFISHES"
"KILLIFISHES"
"CATFISH, GAFFTOPSAIL"
"REDFISHES"
"SENNET, NORTHERN"
"SHARK, BIGNOSE"
"SHARK, NIGHT"
"CHUB, BERMUDA"
"COOTER, RIVER"
