"indicator","Cobia_SEDAR28U_Biomass","Gag.Grouper_SEDAR72_Biomass","Gray.Snapper_SEDAR75_Biomass","Gray.Triggerfish_SEDAR43_Biomass","Greater.Amberjack_SEDAR70_Biomass","Hogfish_SEDAR37U_Biomass","King.Mackerel_SEDAR38U_Biomass","Mutton.Snapper_SEDAR79_Biomass","Red.Grouper_SEDAR88_Biomass","Red.Snapper_SEDAR74_Biomass","Red.Snapper_SEDAR74_Biomass.1","Red.Snapper_SEDAR74_Biomass.2","Scamp.Grouper_SEDAR68OA_Biomass","Spanish.Mackerel_SEDAR81_Biomass","Vermilion.Snapper_SEDAR67_Biomass","Vermilion.Snapper_SEDAR67_Biomass.1","Yellowedge.Grouper_SEDAR85_Biomass","Yellowedge.Grouper_SEDAR85_Biomass.1","Yellowtail.Snapper_SEDAR96_Biomass"
"2000","11.8550794956","30.38407284","36.083897388","19.263197943","10.7659531232","2.9526255198","61.560265646","8.5072097022","68.38069854","0.84427466134","16.8078244642","36.581700584","6.5109924308","33.220757394","17.3243228378","37.247495824","7.8348006022","10.7643217044","7.2397736642"
"2001","11.8654412096","32.051426946","36.228079536","20.4948970908","13.6555706034","2.9820571968","58.982844404","8.8968101486","69.566343176","1.12565031194","18.5776052154","35.105927956","7.1610687302","33.46502929","18.615260125","36.749251704","7.6667644658","10.8994649104","7.2073877964"
"2002","11.0179852816","32.876175288","36.530112476","20.9943096594","17.0925731834","2.9050939126","54.022449404","9.5094960928","69.555540538","1.4197642569","19.1724557838","34.115833114","7.2323881872","31.138273342","18.8795279244","37.138146672","7.7228499986","11.1645704654","7.579924484"
"2003","10.912869","33.838491918","37.426290506","20.4359235058","17.5812492526","2.9317477684","58.709471524","9.9451730972","74.224264312","1.76072417224","17.3933935824","34.439691792","7.7540674178","29.663823486","18.3472003792","37.487138018","7.8890783466","11.3282414542","8.094152099"
"2004","10.2326996376","34.133910998","37.746180868","19.0305443944","14.4136732828","2.7434952666","64.76842867","10.5365183198","74.747861562","2.2596032228","17.5477390286","36.636595622","7.6134126618","31.063316262","18.8171592246","39.251274942","7.817692751","11.4232164838","8.413711768"
"2005","10.2939880736","31.765708194","37.54357629","17.1255542986","12.4086816238","2.6112842052","69.710745786","10.9786107684","72.330716194","2.792922847","18.801440284","37.944155744","7.3616891502","32.997870312","18.709838323","40.309933466","7.8490424474","11.5672443084","8.8138723442"
"2006","11.7557834108","13.6479867106","38.697915322","15.9528066896","10.044910106","2.6702577902","75.624198012","12.6399462618","58.730415414","2.9147060558","26.599622148","40.619903038","7.1855841046","35.52965592","21.6182391656","42.640878192","7.855722446","11.7041291642","9.7122990866"
"2007","12.0091824336","14.0201486128","41.324720052","15.3904742662","9.2969486786","3.0950219256","78.578829736","12.6355149756","68.711612002","3.4379285204","33.079661714","43.209229228","7.1825858214","34.344893132","25.433378168","44.447564282","7.9074869236","11.8564022676","9.9928590278"
"2008","11.619119017","15.16117174","42.861781116","15.069790241","11.1313909344","3.470733266","80.779040496","13.429883654","76.882595108","4.4551401884","37.141674064","46.176647748","7.3239240096","33.256472238","27.697302446","48.420289522","7.700406967","12.027745334","10.1816406384"
"2009","12.6317230292","13.9576917282","42.615525062","15.002990255","13.100623657","3.807158278","82.02619403","12.459299699","79.39167313","5.451694567","42.447312556","52.12713759","7.1027785774","31.848160982","33.12882474","57.33555234","7.5117135412","12.140401416","9.5830863084"
"2010","14.1637575596","14.159612874","41.946422892","14.8239310186","15.324644313","4.053304101","80.71885437","12.925246136","81.94241847","6.68661246","50.419438938","63.634813066","6.8038541516","30.5560332","38.433581384","66.615238844","7.321653251","12.145692504","9.5328650648"
"2011","14.1573641616","14.3662519066","43.99980596","14.4754687814","12.795394018","4.0721976944","77.38767355","13.7585704498","82.749750314","7.7640763926","50.439280518","69.984118666","6.5866108968","29.761488152","45.682812868","78.263348614","7.3699785214","12.1839206148","9.8060836214"
"2012","12.9700881068","15.1185784816","46.74345555","13.4139222052","12.2596052194","4.2366403002","72.027360482","15.0764922858","79.553492238","5.0415691084","49.255179116","81.045358592","6.3996150284","30.58028402","44.19050559","90.349075454","7.3386949636","12.09895456","10.4040206578"
"2013","12.793189398","15.8747190492","47.424462668","12.787347155","12.41862446","4.2954154694","64.243288186","15.5077159578","73.775844604","5.4615492184","49.698528198","90.514642416","5.9292813976","30.641131532","46.217874142","100.130092546","7.1357596926","12.0118500238","11.1982350128"
"2014","12.89372007","16.3970155734","47.299460714",NA,"11.6119099096","4.1286359664","62.577697776","15.9515721024","65.11014477","6.3881510044","44.765470486","95.520893512","5.4681410322","24.31144705","44.206819778","112.063700606","6.9644166262","11.8231786442","11.7864055826"
"2015","11.9839615808","6.9450821088","47.372654098",NA,"11.8744801516","4.0974626396","60.845527842","16.6898772942","51.49441165","8.2275095628","50.680686408","105.02478987","4.933719098","27.20831773","46.258659612","124.100925806","6.6506110154","11.6358079904","12.2931154434"
"2016","11.5405022678","7.4410113778","47.563353728",NA,"11.7519694182","3.9947934862","61.912563922","18.0760541654","52.063424072","9.1842485042","57.489214354","113.162262752","4.667511233","29.438511322","45.220283592","135.417019804","6.4235572016","11.3804468558","12.981243484"
"2017","10.6632398774","7.8380413936","47.956878398",NA,"10.6876009284",NA,"65.377344714","19.0123562794","52.009631344","10.1997405686","62.082760586","117.996112564","4.2010797796","33.948061532","43.431234462","146.474732338","6.2545289862","11.1003057924","13.0658347534"
"2018","11.2574951984","8.4397483302","49.576833174",NA,"10.6945895738",NA,NA,"20.281291459","53.779941204","11.3917345102","57.328497556","125.536133426","3.8722386604","30.4678484",NA,NA,"6.064578927","10.8845616792","12.3447476438"
"2019",NA,"8.0167478908","52.894124888",NA,NA,NA,NA,"22.762481038","55.972656256","11.9917659356","64.10263343","134.984693822","3.8243102216","33.172476216",NA,NA,"5.7644640064","10.7706489638","11.844100488"
"2020",NA,NA,"56.773153778",NA,NA,NA,NA,"24.898316894","61.484206256",NA,NA,NA,"3.78974178","32.205750346",NA,NA,"5.4447059216","10.5455352156","12.093663472"
"2021",NA,NA,NA,NA,NA,NA,NA,"27.972659484","67.98496925",NA,NA,NA,NA,"35.965950218",NA,NA,"5.2119641882","10.4286021708","12.8847472666"
"2022",NA,NA,NA,NA,NA,NA,NA,"30.786856914","69.558186082",NA,NA,NA,NA,NA,NA,NA,NA,NA,"13.5169881902"
"2023",NA,NA,NA,NA,NA,NA,NA,"33.359868916",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14.5772560868"
