"year","Cobia_SEDAR28U","Gag Grouper_SEDAR72","Gray Snapper_SEDAR75","Gray Triggerfish_SEDAR43","Greater Amberjack_SEDAR70","Hogfish_SEDAR37U","King Mackerel_SEDAR38U","Mutton Snapper_SEDAR79","Red Grouper_SEDAR88","Red Snapper_SEDAR74","Scamp Grouper_SEDAR68OA","Spanish Mackerel_SEDAR81","Vermilion Snapper_SEDAR67","Yellowedge Grouper_SEDAR85","Yellowtail Snapper_SEDAR96"
2000,212.10979713,2367.4752794,300.5899721176,158.19140579,843.718215252,18.60968023178,2143.94444836,204.642087804,5520.59335124,4723.70674988256,199.952861064,911.56958453,4935.0426195708,1098.2790507458,1591.77752778
2001,177.734480242,3036.10566072,317.4477312248,176.233574946,704.31105371,22.2249285434,2005.653265462,232.991516846,5672.01547132,4621.60152946008,266.946853624,1183.410915016,4625.6308825694,748.2932888486,1420.15227002
2002,183.678135762,2860.21005402,374.2235966854,234.369183884,764.265915072,26.4391478582,2031.01058424,233.677374128,5773.3706712,4829.4029170904,304.10748742,960.874367596,4748.0595159206,744.7859147982,1407.57491292
2003,194.934484558,2510.28174452,327.1180323004,251.760328754,964.334739148,23.49331036338,2100.45390962,266.92657112,4752.79475308,4845.0318210096,310.378088086,1473.874009256,4421.479940009,1064.071307024,1404.673633
2004,179.44945414,2791.26717738,342.6374658135,220.042681276,959.031525738,20.96811656918,2130.24493968,347.051059938,5408.13568504,5016.7018105094,316.73334616,1136.378874708,4573.4697938314,869.2976715412,1477.44372996
2005,137.001039274,2385.58402808,306.76972480264,149.61433168,723.543276742,16.210178878564,1979.0322585,236.742236852,5383.81652182,4702.99829345698,306.739362776,1588.841194402,4065.2872248252,839.253859752,1313.81462894
2006,151.596725984,1365.321166,273.44144588662,91.928906146,595.788413748,13.3201823536382,2213.07692232,287.049019708,5137.43039524,5913.89147228418,218.011344408,1461.238891112,4498.2688608132,701.6583887874,1229.48570932
2007,147.38325624,1232.18195958,210.6852378246,88.374617782,586.99771196,15.59643207122,2317.71921062,221.251474422,3696.14574021,3251.2041289068,273.911027742,980.295526562,3092.6158474244,872.398557756,969.8454073
2008,140.073397706,1288.52984216,222.17323045324,76.527210364,472.798836884,22.7461448038,2641.46104376,157.432134662,4790.93026984,2504.502663883,276.994409274,1300.056918292,2434.942824336,815.564446235,1353.99382844
2009,137.809032504,735.532000302,271.73954758984,81.2922098934,600.833686618,30.5646532642,2638.27757248,120.81758524,3668.14816852,2525.801387472,250.113477614,1816.347616688,2476.028122656,830.3009420244,1931.26034772
2010,195.22020331,497.883885092,214.208926063,55.1189392072,546.608632636,33.937297915774,2251.6996601,128.193361912,2908.0370803,3418.077791227,155.975321766,1252.093426034,3390.977610108,446.4955597564,1655.3058577
2011,240.31239848,319.357725808,245.8765948056,111.6752906544,518.1841583292,44.18646452154,2259.95155276,158.998958096,4759.89803872,3650.8839215772,145.870666458,1320.435764186,3642.5670146734,571.396498068,1854.16919556
2012,139.653197134,523.308885704,255.902038117,75.559602646,317.8773455242,41.216362979,2703.34031792,165.925433212,5218.1371242,4106.42324263292,250.323136976,1653.201106986,4086.3398025912,672.357070968,2073.22905724
2013,151.331951122,576.099613914,230.34077435204,64.369833374,469.2266029132,21.874543436636,2434.01732486,181.113721778,4601.85324016,5433.9691355994,245.167633106,1333.96375343,5342.291181348,683.1640961618,2032.29808232
2014,164.352436842,587.428494708,290.1619211018,NA,528.087399554,33.84034820804,2860.44374374,227.94007104,5604.00294432,5498.232331504,168.501752144,841.725459234,5443.518072344,797.4845560308,2010.1835391
2015,132.310048838,543.20954952,263.545124743538,NA,490.436237808,27.249255098318,2620.58549698,224.927898734,4802.64562052,7048.159557824,178.549307794,1071.326931906,7216.537851248,751.8957261134,2154.02838024
2016,123.768689572,909.89517564,264.96776625,NA,480.916027262,29.271344246804,2879.05514578,150.301952658,4502.33669336,6611.7279560904,285.940536772,1233.27765572,6536.178230142,717.9024037328,2259.845731
2017,113.846356338,491.55860985,204.4992504742,NA,486.804787744,NA,3205.5615724,191.78871228,3338.05482516,6874.6469910206,162.980501816,629.659974966,6978.6805176,685.5742308382,2781.2824534
2018,73.254451974,491.881366218,207.2723317412,NA,327.941193316,NA,NA,222.93448133,2368.21162248,6859.830335248,142.612679022,1151.38263658,NA,718.2284670308,1953.54905592
2019,NA,532.350032324,177.374796489,NA,NA,NA,NA,136.856416202,2040.05834472,7528.19858725,114.087762228,895.825070338,NA,871.6692253676,2169.28435064
2020,NA,NA,144.5192564442,NA,NA,NA,NA,141.977748462,2370.37655932,NA,119.030079344,523.523174768,NA,703.2360148594,1395.70303422
2021,NA,NA,NA,NA,NA,NA,NA,124.669938228,2953.37288598,NA,NA,419.92389219,NA,702.0721298228,1621.38557438
2022,NA,NA,NA,NA,NA,NA,NA,130.263500092,2431.38941782,NA,NA,NA,NA,NA,1778.53088798
2023,NA,NA,NA,NA,NA,NA,NA,160.0113196,NA,NA,NA,NA,NA,NA,1453.5721046
