"year","Cobia_SEDAR28U","Gag Grouper_SEDAR72","Gray Snapper_SEDAR75","Gray Triggerfish_SEDAR43","Greater Amberjack_SEDAR70","King Mackerel_SEDAR38U","Mutton Snapper_SEDAR79","Red Grouper_SEDAR88","Red Snapper_SEDAR74","Scamp Grouper_SEDAR68OA","Vermilion Snapper_SEDAR67","Yellowtail Snapper_SEDAR96"
2000,303.985781990517,243.122028526154,1224.80668343507,36.5255790277427,23.0795199614039,40.7098961821835,117.069239500567,8.96595653263633,21.0729314582457,131.9423916206,18.7556574165437,368.00152905199
2001,299.365391756404,54.4804177545691,1360.21197808417,38.1476020042949,20.8527574525303,41.7891639871383,124.230986246622,7.98438988663272,24.0559784770546,119.213547307276,14.3329315469892,363.732919254667
2002,288.887309292653,44.8126489585848,1341.96513558395,38.3258345951401,19.3286758515331,45.3349736725552,124.875589066921,9.02047100887662,25.6252674987189,119.605479927165,13.083832738918,353.916851441247
2003,313.32707299787,47.6939767110664,1241.24493893257,38.6400148880015,23.3151431160386,44.9453250306633,142.660539648873,7.33588770735857,26.1300059446842,78.5676097996541,15.9743419462595,311.412512218956
2004,294.596453130664,47.41766225984,1151.41446881033,38.6604950226593,28.6049580798947,49.8665428084841,163.961983126756,6.42847184733673,26.5663477491553,85.4657941701377,16.2312879303043,301.19460674157
2005,252.100202839752,42.8599041470273,1099.38035869491,39.3437300713087,28.9435757688001,56.4646496414647,136.50006355663,7.89409186269406,27.2690573490074,95.664741474146,13.5670663822742,329.976190476183
2006,271.255226824455,45.0203547542888,1072.09872071916,38.9813031691129,26.6480037076114,46.4394892672095,177.703562167321,9.40293834005174,26.5389306341616,110.998316309348,12.2035004580491,349.865746549575
2007,294.631996474217,40.5682659504971,1002.04812834207,38.4187272378762,25.3634605675529,49.9430403800476,124.11340588672,10.1210661573169,84.4105762628381,131.059177215191,28.2470051212675,383.869982548007
2008,292.794009216582,25.9844396034323,1040.32416640879,31.9368847180055,27.2819814777121,64.5832255282453,110.885248447204,10.9163116862241,90.8541475849717,132.14419436264,38.0321303981431,406.191798941814
2009,278.809991079389,16.983140662462,1197.85356656942,32.6571990328667,28.5139936596951,65.8542813119083,106.267209617994,15.9762446588891,110.593647087933,111.641113953945,43.9974859174359,387.956598759958
2010,319.676895306858,20.7916294570932,1316.22392305612,33.0502994170291,31.9932126404894,75.6727420908346,159.177662195454,12.0303251402253,108.797382635824,51.5440040798488,47.3548662508572,368.779469548144
2011,316.872093023261,17.966264821154,1338.06694661074,33.4540507340655,23.9324987399642,55.0417740549827,238.337078651687,8.71458555329523,119.930390412701,55.1382500000005,47.7462718907798,376.809139784951
2012,317.52230576441,28.1426522022646,1190.15021019166,33.8719177743736,27.308799269679,65.1965121225003,180.572456813816,12.9106529209622,124.044036114225,58.1922919229188,48.1198082886467,362.809413580249
2013,352.739465570412,27.650008464892,1004.04518546988,34.61329634635,27.4537393906561,61.9280345523896,159.332622187745,17.9014948157423,116.557121392302,64.3815781856071,46.9748499897522,313.549659863952
2014,321.332327586208,27.3549268012238,1042.25047513455,NA,23.8777387906458,77.2767718880277,156.29931972789,23.5919291667441,116.583602467638,66.0655199239342,45.9261036014006,301.223984142711
2015,321.278907922903,22.8864945197844,1133.10142085316,NA,23.7263651877133,68.6621418669135,129.836726902521,26.2109683318895,110.007714838387,73.9352747854657,45.7934310422147,323.741550695822
2016,345.693349753699,22.328608526293,1143.55375832548,NA,24.6127226979883,82.5486093552469,91.4867149758458,20.4790068489717,109.162019668461,73.6935227272731,47.9710567957663,341.683333333333
2017,330.812940422801,22.4951572872738,1112.35651756813,NA,26.6902612080115,93.4460154241649,108.16113390526,16.2978375294662,113.984324602014,68.6669143600223,46.6397746601975,371.04999999999
2018,288.43489583333,21.3710632183908,1032.02261251375,NA,32.2280526908744,NA,26.1268861099628,11.4414562186459,106.996619342776,68.1285939968404,NA,406.475229357786
2019,NA,15.5082849509325,940.785196445249,NA,NA,NA,20.8964553808867,9.08351656981309,103.381604313386,64.7272045028141,NA,431.75603334796
2020,NA,NA,862.765332982349,NA,NA,NA,24.0209250279748,10.1185405471537,NA,61.8314246449837,NA,399.420189274439
2021,NA,NA,NA,NA,NA,NA,26.1693738719978,13.5026912067089,NA,NA,NA,353.751322751312
2022,NA,NA,NA,NA,NA,NA,27.7767017675818,14.4882621090106,NA,NA,NA,355.387224669606
2023,NA,NA,NA,NA,NA,NA,31.083511777302,NA,NA,NA,NA,354.860064585586
