"indicator","Cobia_SEDAR28U_RecDev","Gag.Grouper_SEDAR72_RecDev","Gray.Snapper_SEDAR75_RecDev","Gray.Triggerfish_SEDAR43_RecDev","Greater.Amberjack_SEDAR70_RecDev","Hogfish_SEDAR37U_RecDev","King.Mackerel_SEDAR38U_RecDev","Mutton.Snapper_SEDAR79_RecDev","Red.Grouper_SEDAR88_RecDev","Red.Snapper_SEDAR74_RecDev","Scamp.Grouper_SEDAR68OA_RecDev","Spanish.Mackerel_SEDAR81_RecDev","Vermilion.Snapper_SEDAR67_RecDev","Yellowedge.Grouper_SEDAR85_RecDev","Yellowtail.Snapper_SEDAR96_RecDev"
"2000"," 0.00403645"," 0.5032350","-0.6210070"," 0.324207"," 0.93620100","-0.6187920"," 0.3448290","-0.0568623","-0.1162230"," 0.2634490"," 0.9925540"," 0.15801400"," 0.1605290","-0.2755990","-0.20956900"
"2001"," 0.05271900"," 0.2800760"," 0.0814414"," 0.234045"," 0.24889300","-1.6640200"," 0.7660220","-0.1032910","-0.8206230"," 0.0976755"," 0.0620691","-0.13596100","-0.1815180"," 0.9553920","-0.10825000"
"2002","-0.26179200"," 0.5959390","-0.0666022"," 0.107477","-0.15055500"," 0.3864810"," 0.3965800"," 0.1430910"," 1.0192600"," 0.1015770"," 0.9528810","-0.11242100"," 0.0142167","-0.0499739"," 0.29221700"
"2003"," 0.02787450"," 0.2196790"," 0.0602533","-0.110691"," 0.04326900","-0.8670430"," 0.6902760"," 0.4697390","-0.8625520"," 0.4169310"," 0.0488044"," 0.41957700"," 0.1121180"," 0.2034930","-0.11809200"
"2004"," 0.11012400"," 0.1825200"," 0.0389567","-0.227799","-0.50417300","-0.4971200"," 0.5561780"," 0.0427782"," 0.2179130"," 0.4826930","-0.0296052"," 0.22125900"," 0.3574920"," 0.1165880"," 0.14171400"
"2005"," 0.03400720"," 0.4756280"," 0.0899796","-0.329523","-0.20502400"," 0.6964760"," 0.0414793"," 0.9349930","-1.9658900"," 0.8551970","-0.1796680","-0.03087350"," 0.3372110","-1.1602000","-0.04439040"
"2006","-0.07914610"," 0.4498320"," 0.3562340","-0.347969"," 0.42040100"," 1.7999900","-0.1982810"," 0.4406150"," 1.6631400"," 0.7279920"," 0.3142740","-0.41570000"," 0.4359340","-0.7365720","-0.12061900"
"2007"," 0.01172720"," 0.5543170","-0.1642840","-0.289010"," 0.38433100"," 0.9107700"," 0.5118940"," 0.2359110"," 0.6203560"," 0.6905880"," 0.6931280"," 0.23779900"," 0.2438550","-0.6977280","-0.19061800"
"2008"," 0.21078300"," 0.0561590","-0.2482670","-0.303315"," 0.45063400"," 0.9925490","-0.5628550","-0.3692570","-0.7923170","-0.9082440"," 0.0659425","-0.24505900","-0.1675700","-1.0240800","-0.00910819"
"2009","-0.15113800","-0.1530620","-0.1661640","-0.387766"," 0.00889819","-0.4435540","-0.8908300","-1.1733800","-0.3387390"," 0.6729760","-0.3093260","-0.44784000"," 0.2850600","-0.6851500","-0.07965830"
"2010"," 0.15453100"," 0.3545460"," 0.0871219","-0.537619","-0.46748800","-0.4955060","-0.3365460","-0.4148030","-0.5085270","-0.0305485","-0.2629600"," 0.53987200"," 0.0613783","-0.5465300","-0.06944500"
"2011","-0.38175200","-1.1506300"," 0.4688020","-0.732120"," 0.05253660"," 0.6456110","-0.5663170"," 0.4121110","-0.7709120"," 0.2439260","-0.3702520","-0.13114700"," 0.1690760","-1.1258300"," 0.19046300"
"2012","-0.01259980","-0.3407220"," 0.5126270","-0.772056"," 0.05722010"," 0.7121790","-0.3132160"," 0.3356060","-0.1411190"," 0.6298950","-0.3834770","-0.18273000"," 0.3332590","-1.3070700"," 0.47879600"
"2013","-0.13279000","-0.0130048","-0.3175850","-0.120254","-0.19357400","-0.0787146"," 0.3477860"," 0.3713230","-1.0774400"," 0.0889789","-0.8985040"," 0.47634100","-0.0214526",NA," 0.23287700"
"2014","-0.16608600"," 0.0138566"," 0.4132460",NA," 0.18762800","-0.6687660","-1.1489900"," 0.6539840"," 0.6270700"," 0.5173510","-0.7335910","-0.57636800"," 0.1995240",NA," 0.32139600"
"2015",NA,"-0.2082500"," 0.0703361",NA,"-0.59875500","-0.6807690"," 0.6149890"," 0.9392630"," 0.7381000"," 0.8804190"," 0.2608750"," 0.44773900"," 0.4630190",NA," 0.23192600"
"2016",NA," 0.0704171"," 0.4753600",NA,"-0.66004700","-0.3979340","-0.8345070"," 0.6145220","-0.0503677"," 0.7550260","-1.0004000"," 0.00238116","-0.1046900",NA,"-0.02107430"
"2017",NA," 0.0227715"," 0.4113950",NA,"-0.48830200",NA,NA," 0.4873350","-0.2867690",NA,"-1.0808700"," 0.06494130",NA,NA,"-0.09883610"
"2018",NA,"-0.6685410"," 0.7577350",NA,"-0.19108600",NA,NA," 0.6883400"," 0.4330100",NA,NA," 0.29730200",NA,NA,"-0.19693900"
"2019",NA,"-0.3407220"," 0.7101290",NA,NA,NA,NA," 0.4422760"," 0.5740160",NA,NA," 0.44102500",NA,NA," 0.37240200"
"2020",NA,NA," 0.3613120",NA,NA,NA,NA," 0.9959810"," 0.8057620",NA,NA,"-0.44621600",NA,NA," 0.25497400"
"2021",NA,NA,NA,NA,NA,NA,NA," 0.9693520"," 0.6218180",NA,NA,NA,NA,NA," 0.29958400"
"2022",NA,NA,NA,NA,NA,NA,NA," 0.5912640","-0.4083660",NA,NA,NA,NA,NA," 0.48273900"
"2023",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA," 0.08367370"
