"year","Cobia_SEDAR28U","Gag Grouper_SEDAR72","Gray Snapper_SEDAR75","Gray Triggerfish_SEDAR43","Greater Amberjack_SEDAR70","Hogfish_SEDAR37U","King Mackerel_SEDAR38U","Mutton Snapper_SEDAR79","Red Grouper_SEDAR88","Red Snapper_SEDAR74","Scamp Grouper_SEDAR68OA","Spanish Mackerel_SEDAR81","Vermilion Snapper_SEDAR67","Yellowtail Snapper_SEDAR96"
2000,143.395,584.8802,1952.025,251.6365,110.42689,22.4236,1191.0957,89.2591,493.318,1952.352712,13.46561,4032.636,162.2691,109.3
2001,185.402,492.9134,2356.862,307.0621,136.17549,38.71155,1606.6305,63.5495,290.692,1875.2363418,15.53329,5007.738,161.3698,101.869
2002,140.785,588.4149,1759.602,417.9195,265.8597,20.62636,648.3089,150.7818,267.22,2687.40144,14.81122,5194.295,204.21,121.012
2003,160.848,685.0676,2529.899,505.3599,383.5643,67.8773,632.241,135.3055,317.765,2334.208719,64.19414,4198.579,222.8277,108.854
2004,149.131,921.3817,3097.605,610.8868,258.43529,42.93151,719.0178,102.4156,847.952,2741.577799,77.29516,5123.559,171.9954,118.422
2005,110.947,753.3434,2410.368,417.1963,261.70423,18.93217,591.5264,139.597,344.384,2626.06248,35.61066,3822.2471,144.8541,149.087
2006,158.684,342.37616,1986.331,269.8622,196.04709,22.56417,689.1756,288.179,268.638,2700.241046,52.85244,5380.299,164.8604,98.974
2007,179.481,324.501,2340.052,286.1758,99.93075,31.04118,567.4604,248.298,222.859,3676.946414,59.33949,4637.394,170.2038,104.598
2008,133.286,580.2095,3483.276,210.5192,89.99231,80.75142,516.0012,670.3549,325.473,1743.1389,73.69914,4974.502,118.6078,103.362
2009,108.849,443.0621,3355.568,141.95774,79.07217,44.68323,467.9219,205.6098,235.275,2561.96182,61.91383,5293.274,157.4771,88.38
2010,167.03,495.9799,1561.608,117.25914,248.37103,90.3512,414.2095,132.8158,336.47,1939.27321,56.98385,5470.511,86.3839,102.174
2011,200.965,237.86876,1906.412,187.067,141.39333,33.1619,495.682,58.3383,456.295,2381.4030522,39.13597,5914.235,122.6145,98.768
2012,150.278,188.66879,3896.321,92.2637,120.56082,58.8942,686.3229,142.7712,839.527,1851.16527,86.87255,5775.464,109.9581,110.815
2013,130.657,266.21403,3623.623,177.71903,155.5078,105.3672,439.25314,199.5026,1005.08,2506.41217,58.89683,8985.715,88.4885,112.942
2014,175.288,146.05295,4504.289,NA,110.67066,44.784,676.0511,274.038,771.461,1363.65039,99.14889,5040.273,78.3067,163.99
2015,142.921,79.20654,3683.459,NA,126.11948,49.9587,513.7539,285.3045,373.418,1840.48843,96.79191,4303.296,106.2489,173.617
2016,155.282,110.86619,4246.49,NA,87.64869,125.4441,561.333,339.6944,299.239,1751.17424,55.06522,3691.265,99.9972,184.576
2017,108.081,128.36859,3566.537,NA,51.739158,NA,540.125,416.1221,113.276,3413.50351,44.18986,8674.242,118.68,110.68
2018,160.029,148.50955,3541.505,NA,63.08464,NA,NA,152.682,137.308,2315.27164,38.31673,5222.209,NA,113.282
2019,NA,180.47518,3708.458,NA,NA,NA,NA,179.556,121.835,3363.5438,47.79622,7572.981,NA,120.758
2020,NA,NA,4034.047,NA,NA,NA,NA,250.9627,262.111,NA,40.58048,5020.908,NA,84.813
2021,NA,NA,NA,NA,NA,NA,NA,236.911,374.595,NA,NA,3889.674,NA,214.744
2022,NA,NA,NA,NA,NA,NA,NA,252.674,181.457,NA,NA,NA,NA,113.868
2023,NA,NA,NA,NA,NA,NA,NA,262.451,NA,NA,NA,NA,NA,102.332
