"Assessment","FleetName"
"Cobia_SEDAR28U","Com_Combined_1"
"Cobia_SEDAR28U","Recreational_Combined_2"
"Cobia_SEDAR28U","Shrimp_Bycatch_3"
"Cobia_SEDAR28U","MRFSS_4"
"Gag Grouper_SEDAR72","Com_VL_OTH_1"
"Gag Grouper_SEDAR72","Com_LL_2"
"Gag Grouper_SEDAR72","Rec_HBT_3"
"Gag Grouper_SEDAR72","Rec_CBT_4"
"Gag Grouper_SEDAR72","Rec_PRIV_SH_5"
"Gag Grouper_SEDAR72","Srv_RT_6"
"Gag Grouper_SEDAR72","Srv_CBT_PRIV_7"
"Gag Grouper_SEDAR72","Srv_AGE0_8"
"Gag Grouper_SEDAR72","Srv_SEAMAP_VIDEO_9"
"Gag Grouper_SEDAR72","Srv_PC_VIDEO_10"
"Gray Snapper_SEDAR75","Com_VL_1"
"Gray Snapper_SEDAR75","Com_LL_2"
"Gray Snapper_SEDAR75","Com_NT_3"
"Gray Snapper_SEDAR75","Rec_PR_4"
"Gray Snapper_SEDAR75","Rec_Shore_5"
"Gray Snapper_SEDAR75","Rec_HB_CBT_6"
"Gray Snapper_SEDAR75","Index_Private_7"
"Gray Snapper_SEDAR75","Index_Shore_8"
"Gray Snapper_SEDAR75","FWRI_Age0_9"
"Gray Snapper_SEDAR75","FWRI_Age1_10"
"Gray Snapper_SEDAR75","SEAMAP_Trawl_11"
"Gray Snapper_SEDAR75","Combo_Video_12"
"Gray Snapper_SEDAR75","Visual_Survey_13"
"Gray Triggerfish_SEDAR43","Rec_E_1"
"Gray Triggerfish_SEDAR43","Rec_W_2"
"Gray Triggerfish_SEDAR43","Com_E_3"
"Gray Triggerfish_SEDAR43","Com_W_4"
"Gray Triggerfish_SEDAR43","Shrimp_Eff_5"
"Gray Triggerfish_SEDAR43","HB_W_6"
"Gray Triggerfish_SEDAR43","LarvalGW_DN_7"
"Gray Triggerfish_SEDAR43","Trawl_GW_8"
"Gray Triggerfish_SEDAR43","Video_GW_9"
"Greater Amberjack_SEDAR70","Com_HL_1"
"Greater Amberjack_SEDAR70","Com_LL_2"
"Greater Amberjack_SEDAR70","REC_3"
"Greater Amberjack_SEDAR70","Headboat_4"
"Greater Amberjack_SEDAR70","MRFSS_5"
"Greater Amberjack_SEDAR70","JOINT_Video_Survey_6"
"Hogfish_SEDAR37U","Comm_Spear"
"Hogfish_SEDAR37U","Comm_HL"
"Hogfish_SEDAR37U","Comm_Trap"
"Hogfish_SEDAR37U","Rec_Spear"
"Hogfish_SEDAR37U","Rec_HL"
"Hogfish_SEDAR37U","Baitfish"
"Hogfish_SEDAR37U","SEAMAP"
"Hogfish_SEDAR37U","VideoIOA"
"Hogfish_SEDAR37U","RecTrawlIOA"
"King Mackerel_SEDAR38U","1_HL"
"King Mackerel_SEDAR38U","2_GN"
"King Mackerel_SEDAR38U","3_Shrimp"
"King Mackerel_SEDAR38U","4_HB"
"King Mackerel_SEDAR38U","5_CP"
"King Mackerel_SEDAR38U","6_SeamapTwl"
"King Mackerel_SEDAR38U","7_SeamapPlank"
