"date","year_decimal","gdp_deflator_dollar"
1947-01-01,1947,NA
1947-02-01,1947.08333333333,11.14
1947-03-01,1947.16666666667,11.19
1947-04-01,1947.25,11.25
1947-05-01,1947.33333333333,11.3
1947-06-01,1947.41666666667,11.36
1947-07-01,1947.5,11.43
1947-08-01,1947.58333333333,11.49
1947-09-01,1947.66666666667,11.58
1947-10-01,1947.75,11.68
1947-11-01,1947.83333333333,11.77
1947-12-01,1947.91666666667,11.8
1948-01-01,1948,11.83
1948-02-01,1948.08333333333,11.87
1948-03-01,1948.16666666667,11.9
1948-04-01,1948.25,11.94
1948-05-01,1948.33333333333,11.97
1948-06-01,1948.41666666667,12.05
1948-07-01,1948.5,12.12
1948-08-01,1948.58333333333,12.19
1948-09-01,1948.66666666667,12.21
1948-10-01,1948.75,12.22
1948-11-01,1948.83333333333,12.23
1948-12-01,1948.91666666667,12.21
1949-01-01,1949,12.19
1949-02-01,1949.08333333333,12.16
1949-03-01,1949.16666666667,12.12
1949-04-01,1949.25,12.08
1949-05-01,1949.33333333333,12.04
1949-06-01,1949.41666666667,12.02
1949-07-01,1949.5,12.01
1949-08-01,1949.58333333333,11.99
1949-09-01,1949.66666666667,11.99
1949-10-01,1949.75,11.99
1949-11-01,1949.83333333333,11.99
1949-12-01,1949.91666666667,11.98
1950-01-01,1950,11.98
1950-02-01,1950.08333333333,11.97
1950-03-01,1950.16666666667,11.98
1950-04-01,1950.25,12
1950-05-01,1950.33333333333,12.01
1950-06-01,1950.41666666667,12.1
1950-07-01,1950.5,12.19
1950-08-01,1950.58333333333,12.27
1950-09-01,1950.66666666667,12.35
1950-10-01,1950.75,12.43
1950-11-01,1950.83333333333,12.5
1950-12-01,1950.91666666667,12.65
1951-01-01,1951,12.8
1951-02-01,1951.08333333333,12.95
1951-03-01,1951.16666666667,12.98
1951-04-01,1951.25,13.01
1951-05-01,1951.33333333333,13.04
1951-06-01,1951.41666666667,13.04
1951-07-01,1951.5,13.04
1951-08-01,1951.58333333333,13.05
1951-09-01,1951.66666666667,13.1
1951-10-01,1951.75,13.15
1951-11-01,1951.83333333333,13.2
1951-12-01,1951.91666666667,13.19
1952-01-01,1952,13.19
1952-02-01,1952.08333333333,13.19
1952-03-01,1952.16666666667,13.2
1952-04-01,1952.25,13.2
1952-05-01,1952.33333333333,13.21
1952-06-01,1952.41666666667,13.26
1952-07-01,1952.5,13.3
1952-08-01,1952.58333333333,13.35
1952-09-01,1952.66666666667,13.37
1952-10-01,1952.75,13.38
1952-11-01,1952.83333333333,13.39
1952-12-01,1952.91666666667,13.39
1953-01-01,1953,13.39
1953-02-01,1953.08333333333,13.39
1953-03-01,1953.16666666667,13.4
1953-04-01,1953.25,13.41
1953-05-01,1953.33333333333,13.42
1953-06-01,1953.41666666667,13.44
1953-07-01,1953.5,13.46
1953-08-01,1953.58333333333,13.48
1953-09-01,1953.66666666667,13.48
1953-10-01,1953.75,13.49
1953-11-01,1953.83333333333,13.5
1953-12-01,1953.91666666667,13.52
1954-01-01,1954,13.53
1954-02-01,1954.08333333333,13.54
1954-03-01,1954.16666666667,13.55
1954-04-01,1954.25,13.55
1954-05-01,1954.33333333333,13.56
1954-06-01,1954.41666666667,13.56
1954-07-01,1954.5,13.57
1954-08-01,1954.58333333333,13.57
1954-09-01,1954.66666666667,13.59
1954-10-01,1954.75,13.6
1954-11-01,1954.83333333333,13.61
1954-12-01,1954.91666666667,13.63
1955-01-01,1955,13.65
1955-02-01,1955.08333333333,13.68
1955-03-01,1955.16666666667,13.69
1955-04-01,1955.25,13.71
1955-05-01,1955.33333333333,13.73
1955-06-01,1955.41666666667,13.76
1955-07-01,1955.5,13.8
1955-08-01,1955.58333333333,13.83
1955-09-01,1955.66666666667,13.87
1955-10-01,1955.75,13.92
1955-11-01,1955.83333333333,13.96
1955-12-01,1955.91666666667,14.01
1956-01-01,1956,14.06
1956-02-01,1956.08333333333,14.1
1956-03-01,1956.16666666667,14.13
1956-04-01,1956.25,14.16
1956-05-01,1956.33333333333,14.19
1956-06-01,1956.41666666667,14.25
1956-07-01,1956.5,14.31
1956-08-01,1956.58333333333,14.37
1956-09-01,1956.66666666667,14.38
1956-10-01,1956.75,14.4
1956-11-01,1956.83333333333,14.42
1956-12-01,1956.91666666667,14.49
1957-01-01,1957,14.56
1957-02-01,1957.08333333333,14.62
1957-03-01,1957.16666666667,14.66
1957-04-01,1957.25,14.69
1957-05-01,1957.33333333333,14.72
1957-06-01,1957.41666666667,14.75
1957-07-01,1957.5,14.78
1957-08-01,1957.58333333333,14.81
1957-09-01,1957.66666666667,14.81
1957-10-01,1957.75,14.82
1957-11-01,1957.83333333333,14.82
1957-12-01,1957.91666666667,14.87
1958-01-01,1958,14.93
1958-02-01,1958.08333333333,14.98
1958-03-01,1958.16666666667,15
1958-04-01,1958.25,15.01
1958-05-01,1958.33333333333,15.03
1958-06-01,1958.41666666667,15.06
1958-07-01,1958.5,15.09
