LAND_YEAR,COMMON_NAME,total_live_lbs,total_dollars,n_dealers,is_confidential
1977,COBIA,102308.99999999999,24376,45,FALSE
1977,HOGFISH,32852,9716.999999999998,27,FALSE
1977,"MACKEREL, SPANISH",2636377,498865.9999999999,81,FALSE
1977,"SNAPPER, GRAY",625369.9999999999,274549.99999999994,83,FALSE
1977,"SNAPPER, MUTTON",189339,133841,33,FALSE
1977,"SNAPPER, RED",5214909,4939742,94,FALSE
1977,"SNAPPER, VERMILION",479317,416851,40,FALSE
1977,"SNAPPER, YELLOWTAIL",762342.0000000001,669075.9999999998,38,FALSE
1978,COBIA,104279,30673,51,FALSE
1978,HOGFISH,37471.99999999999,19689.999999999996,36,FALSE
1978,"MACKEREL, SPANISH",1704939,355947,85,FALSE
1978,"SNAPPER, GRAY",666160,353836.99999999994,90,FALSE
1978,"SNAPPER, MUTTON",223279.00000000003,182857.99999999994,41,FALSE
1978,"SNAPPER, RED",4650570,5166691,111,FALSE
1978,"SNAPPER, VERMILION",405744.99999999994,381922.99999999994,46,FALSE
1978,"SNAPPER, YELLOWTAIL",830453,825527,44,FALSE
1979,COBIA,93814,28120.999999999996,70,FALSE
1979,HOGFISH,48093.99999999999,32197.000000000004,37,FALSE
1979,"MACKEREL, SPANISH",2121969,537499.9999999999,122,FALSE
1979,"SNAPPER, GRAY",673256.9999999999,449234,100,FALSE
1979,"SNAPPER, MUTTON",217639,219385,41,FALSE
1979,"SNAPPER, RED",4501981,6145591,151,FALSE
1979,"SNAPPER, VERMILION",395693,380347,49,FALSE
1979,"SNAPPER, YELLOWTAIL",731598,860557.9999999999,42,FALSE
1980,COBIA,99583,36172.99999999999,78,FALSE
1980,HOGFISH,46649.99999999999,37051.99999999999,33,FALSE
1980,"MACKEREL, SPANISH",1951963,521724.0000000001,142,FALSE
1980,"SNAPPER, GRAY",706060.9999999999,547050,91,FALSE
1980,"SNAPPER, MUTTON",201667.99999999997,238707,44,FALSE
1980,"SNAPPER, RED",4509824,7136973,148,FALSE
1980,"SNAPPER, VERMILION",278718,329221,46,FALSE
1980,"SNAPPER, YELLOWTAIL",625859.5963080613,841158.3516080766,44,FALSE
1981,COBIA,118118,53138.99999999999,72,FALSE
1981,HOGFISH,17053,14218.498565079362,29,FALSE
1981,"MACKEREL, SPANISH",3709066.9999999995,1172802.0000000002,130,FALSE
1981,"SNAPPER, GRAY",592446.9999999999,476408.5277096246,88,FALSE
1981,"SNAPPER, MUTTON",128123,162467.92496923276,38,FALSE
1981,"SNAPPER, RED",5325362.093999317,9087454.102348689,142,FALSE
1981,"SNAPPER, VERMILION",326003.99999999994,374349.8255533891,62,FALSE
1981,"SNAPPER, YELLOWTAIL",364742.99999999994,520549.45158065535,41,FALSE
1982,COBIA,110367,56358.99999999999,88,FALSE
1982,HOGFISH,15861.999999999998,13177.484281551908,31,FALSE
1982,"MACKEREL, SPANISH",3455591,1100457,136,FALSE
1982,"SNAPPER, GRAY",639638,598225.5897090752,99,FALSE
1982,"SNAPPER, MUTTON",169177,234544.24547221622,45,FALSE
1982,"SNAPPER, RED",5951850.918717374,10307433.569591613,145,FALSE
1982,"SNAPPER, VERMILION",358295,422741.1862182116,48,FALSE
1982,"SNAPPER, YELLOWTAIL",496147.99999999994,692180.4443987958,39,FALSE
1983,COBIA,132451,75213,115,FALSE
1983,HOGFISH,18958.999999999996,10871.441498975779,41,FALSE
1983,"MACKEREL, SPANISH",2265989,711229.9999999999,149,FALSE
1983,"SNAPPER, GRAY",676813,668850.8397955507,115,FALSE
1983,"SNAPPER, MUTTON",181441.99999999997,250408.55116159798,50,FALSE
1983,"SNAPPER, RED",6840033.771291178,11974013.16591775,177,FALSE
1983,"SNAPPER, VERMILION",514835.00000000006,643136.8544834006,66,FALSE
1983,"SNAPPER, YELLOWTAIL",426720.52640881675,605880.5590703001,48,FALSE
1984,COBIA,92687.27442031266,60674.85709099192,106,FALSE
1984,HOGFISH,12562.070997553683,11275.455118434948,40,FALSE
1984,"MACKEREL, SPANISH",3505715,1036030.9821259555,145,FALSE
1984,SCAMP,14669,14328,4,FALSE
1984,"SNAPPER, GRAY",486877,629524.6405377387,109,FALSE
1984,"SNAPPER, MUTTON",126061.99999999999,190567.13537482047,49,FALSE
1984,"SNAPPER, RED",5382877,9927187.115490375,178,FALSE
1984,"SNAPPER, VERMILION",1369370.8732035297,1969532.9443923493,73,FALSE
1984,"SNAPPER, YELLOWTAIL",541045.9999999999,879213.353530454,42,FALSE
1985,COBIA,96518,75623.46668846562,127,FALSE
1985,"GROUPER, YELLOWEDGE",178374,242457,5,FALSE
1985,HOGFISH,20580,18357.513314890883,45,FALSE
1985,"MACKEREL, SPANISH",2056695,673662.0022785566,152,FALSE
1985,SCAMP,31737,35022,13,FALSE
1985,"SNAPPER, GRAY",385171.99999999994,509915.449485483,123,FALSE
1985,"SNAPPER, MUTTON",148017,223999.46013596404,57,FALSE
1985,"SNAPPER, RED",4007988,8183620.065934066,181,FALSE
1985,"SNAPPER, VERMILION",1395789,2196739.789689034,90,FALSE
1985,"SNAPPER, YELLOWTAIL",435834,724642.3492168473,56,FALSE
1986,"AMBERJACK, GREATER",911609.92,26537.98,142,FALSE
1986,COBIA,135842.19546468864,53961.64207878825,172,FALSE
1986,"GROUPER, GAG",873394.1905063291,275246.657278481,76,FALSE
1986,"GROUPER, RED",7417101.562410616,1973994.4223129197,176,FALSE
1986,"GROUPER, YELLOWEDGE",1113313.9643234995,858679.7201932858,52,FALSE
1986,HOGFISH,24603.03744105141,3822.4796353562683,62,FALSE
1986,"MACKEREL, KING",1687404.16,111427,110,FALSE
1986,"MACKEREL, SPANISH",3096833.3521634224,185149.05077693082,223,FALSE
1986,SCAMP,387411.53641544114,201141.03420036763,136,FALSE
1986,"SNAPPER, GRAY",447569.83780512254,129513.65294959708,179,FALSE
1986,"SNAPPER, MUTTON",175577.72577193298,65183.479910420865,99,FALSE
1986,"SNAPPER, RED",3770840.019668203,5492192.662442396,234,FALSE
1986,"SNAPPER, VERMILION",1760743.8204487422,1198994.0386189257,90,FALSE
1986,"SNAPPER, YELLOWTAIL",521025.1007159008,115823.24268734465,93,FALSE
1987,"AMBERJACK, GREATER",1666472.08,64135.04,172,FALSE
1987,COBIA,149134.83245209797,61327.93377133901,196,FALSE
1987,"GROUPER, GAG",785260.3700686948,436331.856673209,72,FALSE
1987,"GROUPER, RED",7816176.699794048,2087724.4736060349,191,FALSE
1987,"GROUPER, YELLOWEDGE",1093913.0583143965,843302.964149288,70,FALSE
1987,HOGFISH,30584.496,9377.2938,77,FALSE
1987,"MACKEREL, KING",516615.84,55156.91,120,FALSE
1987,"MACKEREL, SPANISH",2844990.6615747316,203418.41067867467,241,FALSE
1987,SCAMP,361704.81607476634,216697.29626168223,139,FALSE
1987,"SNAPPER, GRAY",482831.2495969991,181102.07280563188,187,FALSE
1987,"SNAPPER, MUTTON",260099.71511269273,111881.01273230526,111,FALSE
1987,"SNAPPER, RED",3069025.0216884776,5094009.901934248,252,FALSE
1987,"SNAPPER, VERMILION",1606477.19,1474322.14,92,FALSE
1987,"SNAPPER, YELLOWTAIL",1112633.22,450121,93,FALSE
1988,"AMBERJACK, GREATER",1904743.68,838653.14,157,FALSE
1988,COBIA,143301.8224358376,149151.29907139525,197,FALSE
1988,"GROUPER, GAG",649613.4326735218,1206108.6540874036,88,FALSE
1988,"GROUPER, RED",5437452.010257095,6941802.9528297745,194,FALSE
1988,"GROUPER, YELLOWEDGE",1579578.2010831,2538684.118403361,82,FALSE
1988,HOGFISH,29977.799343204937,35490.02019531249,74,FALSE
1988,"MACKEREL, KING",552017.4400000001,543911.74,100,FALSE
1988,"MACKEREL, SPANISH",2314938,1031412.4299999999,235,FALSE
1988,SCAMP,276580.63739850867,551099.0078956089,121,FALSE
1988,"SNAPPER, GRAY",318985.6788036276,429213.3555226014,186,FALSE
1988,"SNAPPER, MUTTON",206111.17271297154,337566.0705366299,115,FALSE
1988,"SNAPPER, RED",3977900.1036038185,8746465.086555291,231,FALSE
1988,"SNAPPER, VERMILION",1556011.0783001161,2144794.8438692796,126,FALSE
1988,"SNAPPER, YELLOWTAIL",617787.6072033218,1085777.2049288503,107,FALSE
1989,"AMBERJACK, GREATER",2145034.32,1114071.76,160,FALSE
1989,COBIA,190396.7364982604,213630.93024076088,250,FALSE
1989,"GROUPER, GAG",852915.976851665,1469240.5125227042,87,FALSE
1989,"GROUPER, RED",8788832.393093988,10717592.027861604,214,FALSE
1989,"GROUPER, YELLOWEDGE",578874.1442,586260.4125999999,77,FALSE
