LAND_YEAR,fmp_status,total_live_lbs,total_dollars,n_dealers,is_confidential
1977,Managed,16850840,8692820,163,FALSE
1977,Unmanaged,82229156.97920278,21055689.542461004,200,FALSE
1978,Managed,15389149.52626552,9454638.76313276,180,FALSE
1978,Unmanaged,81571741.72428739,23102830.74178846,239,FALSE
1979,Managed,14947311,11263251,248,FALSE
1979,Unmanaged,82278126.99335304,24838788.71275906,338,FALSE
1980,Managed,18984917.59630806,15801311.351608077,241,FALSE
1980,Unmanaged,86683350.15200621,28945856.537358392,320,FALSE
1981,Managed,19394875.093999315,17266774.871799614,254,FALSE
1981,Unmanaged,95053204.04908611,36383159.40391707,316,FALSE
1982,Managed,20098568.918717373,19495784.633366805,247,FALSE
1982,Unmanaged,86755885.56585117,36462021.13026654,318,FALSE
1983,Managed,19472638.297699995,20572262.87519353,278,FALSE
1983,Unmanaged,83696603,36323723.3771957,342,FALSE
1984,Managed,20622344.951327138,21317021.200407743,277,FALSE
1984,Unmanaged,76363007.46853253,33763791.39507524,328,FALSE
1985,Managed,22490669.3225499,25406064.235726755,299,FALSE
1985,Unmanaged,75155576.19307345,37871779.42462426,356,FALSE
1986,Managed,50037714.89465303,27273554.196774185,405,FALSE
1986,Unmanaged,78289564.20045124,16082437.601719843,479,FALSE
1987,Managed,43828986.93632535,37910806.65766509,445,FALSE
1987,Unmanaged,86205514.07012978,17242615.610346455,509,FALSE
1988,Managed,47234318.81151294,70729633.47377662,424,FALSE
1988,Unmanaged,88724431.634408,36586647.24588757,571,FALSE
1989,Managed,44524353.79797074,63771049.78719073,501,FALSE
1989,Unmanaged,101126544.02852488,44157424.29134389,736,FALSE
1990,Managed,37035669.28173707,52726879.99148245,513,FALSE
1990,Unmanaged,88962621.15190837,43195587.2654354,892,FALSE
1991,Managed,35743680.70070398,50194186.06764309,552,FALSE
1991,Unmanaged,80952409.10258576,36080858.323910475,976,FALSE
1992,Managed,40974024.88121957,58566934.32923094,553,FALSE
1992,Unmanaged,86207730.55868512,37582905.00336784,984,FALSE
1993,Managed,39927399.34238497,60037155.28425553,537,FALSE
1993,Unmanaged,105400253.05842821,42338510.7350579,921,FALSE
1994,Managed,34751496.94080493,51960767.90205223,545,FALSE
1994,Unmanaged,94194284.0561881,47320488.936075374,964,FALSE
1995,Managed,28469563.216653027,46210734.91466103,514,FALSE
1995,Unmanaged,73987945.31325226,43877090.54010962,965,FALSE
1996,Managed,26891015.17319303,49572087.13556209,430,FALSE
1996,Unmanaged,67267153.33600314,38306449.41649132,899,FALSE
1997,Managed,27922952.92,51073583.84,411,FALSE
1997,Unmanaged,70301636.59,36215230.3,878,FALSE
1998,Managed,25301225.34,47147146.06,390,FALSE
1998,Unmanaged,64640794.19,31252930.79,864,FALSE
1999,Managed,32559570.73,55755324.8,377,FALSE
1999,Unmanaged,72897480.86,37342312.75,905,FALSE
2000,Managed,31364695.07,59250918.39,370,FALSE
2000,Unmanaged,62102608.58,34556674.0761,911,FALSE
2001,Managed,30642763.26,57451888.819,387,FALSE
2001,Unmanaged,68045005.52,41754953.121,915,FALSE
2002,Managed,32348270.04,60928306.6355,385,FALSE
2002,Unmanaged,68680453.83,39273768.7088,934,FALSE
2003,Managed,33000738.92,60561022.2945,382,FALSE
2003,Unmanaged,60259722.75,34610331.968,956,FALSE
2004,Managed,32260217.310000002,63664431.343,365,FALSE
2004,Unmanaged,63535197.08,34965053.9243,970,FALSE
2005,Managed,29745511.81,60370069.3867,332,FALSE
2005,Unmanaged,58849219.05,36870271.444,907,FALSE
2006,Managed,28103626.72,58254548.521,317,FALSE
2006,Unmanaged,47603987.38,30766991.2415,784,FALSE
2007,Managed,25187835.65,56475485.071,299,FALSE
2007,Unmanaged,59942252.26,35072694.518,866,FALSE
2008,Managed,23734226.73,54504819.733,282,FALSE
2008,Unmanaged,61084669.02,34332818.807000004,833,FALSE
2009,Managed,26124668.47,54373180.9808,300,FALSE
2009,Unmanaged,62492055.42,39308310.4029,878,FALSE
2010,Managed,19244936.15,41053603.9158,286,FALSE
2010,Unmanaged,52298397.8,34068855.6544,865,FALSE
2011,Managed,23928404.18,57319257.8894,298,FALSE
2011,Unmanaged,63502677.52,40279836.622,857,FALSE
2012,Managed,27819506.32,70064290.9748,330,FALSE
2012,Unmanaged,59421283.4,37862470.606,888,FALSE
2013,Managed,26214901.37,72085608.971,312,FALSE
2013,Unmanaged,68124983.48,50949389.5072,917,FALSE
2014,Managed,27126610.29,78964446.4165,333,FALSE
2014,Unmanaged,68428234.25,47374820.901,827,FALSE
2015,Managed,25705495.43,75981425.792,325,FALSE
2015,Unmanaged,53291655.589999996,34181739.2484,850,FALSE
2016,Managed,26049396.16,78709339.6205,310,FALSE
2016,Unmanaged,62624969.49,44106741.13,942,FALSE
2017,Managed,24279689.6,74446701.517,322,FALSE
2017,Unmanaged,53539778.02,39925255.97,881,FALSE
2018,Managed,22754769.97,69654078.066,317,FALSE
2018,Unmanaged,52435636.54,39108625.067999996,828,FALSE
2019,Managed,21241997.74,72009610.8973,328,FALSE
2019,Unmanaged,51419312,40320270.776,844,FALSE
2020,Managed,19406634.84,66328392.0662,296,FALSE
2020,Unmanaged,44203269.15,31876211.795,806,FALSE
2021,Managed,19889903.38,73870369.7612,287,FALSE
2021,Unmanaged,53601584.95,37536368.311,791,FALSE
2022,Managed,18578067.81,79622639.0791,282,FALSE
2022,Unmanaged,50588293.45,39693262.8293,778,FALSE
2023,Managed,18435700.69,84047224.4659,287,FALSE
2023,Unmanaged,47853842.94,91095629.8725,781,FALSE
2024,Managed,17340450.48,82072276.6209,265,FALSE
2024,Unmanaged,37997515.08,43563905.1694,752,FALSE
2025,Managed,12872358.73,63065213.6356,242,FALSE
2025,Unmanaged,34092625.83,65957968.023,725,FALSE
