"date","gas_usd_gal","gas_2025_usd_gal","diesel_usd_gal","diesel_2025_usd_gal"
1995-01-01,1.143,2.204,1.059,2.042
1995-02-01,1.133,2.181,1.05,2.021
1995-03-01,1.126,2.164,1.046,2.01
1995-04-01,1.16,2.226,1.066,2.046
1995-05-01,1.232,2.36,1.086,2.081
1995-06-01,1.248,2.387,1.08,2.066
1995-07-01,1.214,2.318,1.06,2.024
1995-08-01,1.171,2.232,1.063,2.026
1995-09-01,1.148,2.185,1.084,2.063
1995-10-01,1.122,2.132,1.072,2.037
1995-11-01,1.095,2.078,1.073,2.036
1995-12-01,1.1,2.084,1.085,2.055
1996-01-01,1.124,2.126,1.106,2.092
1996-02-01,1.124,2.122,1.105,2.086
1996-03-01,1.172,2.21,1.151,2.17
1996-04-01,1.269,2.39,1.227,2.31
1996-05-01,1.303,2.45,1.201,2.258
1996-06-01,1.281,2.406,1.141,2.143
1996-07-01,1.247,2.34,1.119,2.099
1996-08-01,1.229,2.303,1.149,2.153
1996-09-01,1.223,2.288,1.215,2.273
1996-10-01,1.227,2.292,1.288,2.406
1996-11-01,1.257,2.344,1.281,2.388
1996-12-01,1.268,2.359,1.271,2.365
1997-01-01,1.263,2.345,1.255,2.33
1997-02-01,1.262,2.339,1.23,2.279
1997-03-01,1.239,2.295,1.176,2.178
1997-04-01,1.226,2.269,1.159,2.145
1997-05-01,1.213,2.244,1.156,2.138
1997-06-01,1.212,2.238,1.145,2.115
1997-07-01,1.194,2.202,1.126,2.077
1997-08-01,1.227,2.26,1.139,2.098
1997-09-01,1.234,2.27,1.13,2.079
1997-10-01,1.209,2.221,1.157,2.126
1997-11-01,1.182,2.17,1.162,2.133
1997-12-01,1.155,2.119,1.141,2.093
1998-01-01,1.123,2.059,1.102,2.021
1998-02-01,1.084,1.987,1.065,1.952
1998-03-01,1.054,1.93,1.041,1.906
1998-04-01,1.057,1.934,1.045,1.912
1998-05-01,1.052,1.923,1.044,1.909
1998-06-01,1.042,1.902,1.017,1.857
1998-07-01,1.034,1.885,1.007,1.836
1998-08-01,1.012,1.843,0.985,1.794
1998-09-01,0.991,1.803,0.998,1.815
1998-10-01,1.01,1.835,1.017,1.848
1998-11-01,0.989,1.796,0.997,1.81
1998-12-01,0.948,1.719,0.945,1.714
1999-01-01,0.941,1.705,0.94,1.703
1999-02-01,0.932,1.687,0.934,1.69
1999-03-01,0.966,1.746,0.964,1.742
1999-04-01,1.083,1.955,1.043,1.883
1999-05-01,1.099,1.981,1.036,1.868
1999-06-01,1.095,1.972,1.028,1.851
1999-07-01,1.129,2.031,1.082,1.946
1999-08-01,1.189,2.136,1.132,2.034
1999-09-01,1.232,2.209,1.181,2.118
1999-10-01,1.248,2.234,1.19,2.13
1999-11-01,1.247,2.228,1.218,2.176
1999-12-01,1.273,2.269,1.257,2.241
2000-01-01,1.28,2.277,1.321,2.35
2000-02-01,1.362,2.417,1.394,2.474
2000-03-01,1.51,2.674,1.426,2.526
2000-04-01,1.467,2.593,1.369,2.42
2000-05-01,1.469,2.591,1.369,2.415
2000-06-01,1.54,2.711,1.368,2.408
2000-07-01,1.55,2.723,1.39,2.442
2000-08-01,1.466,2.571,1.428,2.504
2000-09-01,1.499,2.624,1.586,2.776
2000-10-01,1.481,2.588,1.58,2.761
2000-11-01,1.463,2.552,1.574,2.745
2000-12-01,1.403,2.442,1.496,2.604
2001-01-01,1.417,2.461,1.457,2.53
2001-02-01,1.436,2.488,1.441,2.497
2001-03-01,1.387,2.399,1.339,2.316
2001-04-01,1.522,2.627,1.358,2.344
2001-05-01,1.622,2.794,1.42,2.446
2001-06-01,1.551,2.668,1.433,2.465
2001-07-01,1.352,2.323,1.345,2.311
2001-08-01,1.338,2.295,1.331,2.283
2001-09-01,1.424,2.44,1.414,2.423
2001-10-01,1.275,2.183,1.284,2.198
2001-11-01,1.126,1.926,1.199,2.051
2001-12-01,1.062,1.814,1.123,1.919
2002-01-01,1.095,1.869,1.121,1.913
2002-02-01,1.094,1.865,1.122,1.913
2002-03-01,1.225,2.086,1.2,2.044
2002-04-01,1.375,2.339,1.273,2.165
2002-05-01,1.368,2.324,1.272,2.161
2002-06-01,1.346,2.283,1.247,2.115
2002-07-01,1.345,2.278,1.262,2.137
2002-08-01,1.353,2.288,1.29,2.181
2002-09-01,1.365,2.303,1.369,2.31
2002-10-01,1.43,2.409,1.43,2.409
2002-11-01,1.406,2.364,1.363,2.291
2002-12-01,1.378,2.313,1.377,2.311
2003-01-01,1.449,2.428,1.459,2.445
2003-02-01,1.591,2.662,1.621,2.712
2003-03-01,1.63,2.724,1.637,2.735
2003-04-01,1.523,2.542,1.443,2.408
2003-05-01,1.424,2.374,1.375,2.292
2003-06-01,1.427,2.374,1.367,2.274
2003-07-01,1.47,2.441,1.383,2.297
2003-08-01,1.555,2.578,1.435,2.379
2003-09-01,1.572,2.6,1.407,2.327
2003-10-01,1.466,2.42,1.428,2.358
2003-11-01,1.439,2.371,1.431,2.358
2003-12-01,1.437,2.362,1.442,2.37
2004-01-01,1.541,2.527,1.516,2.486
2004-02-01,1.596,2.611,1.53,2.503
2004-03-01,1.656,2.702,1.568,2.558
2004-04-01,1.724,2.805,1.616,2.63
2004-05-01,1.898,3.08,1.654,2.684
2004-06-01,1.9,3.077,1.634,2.646
2004-07-01,1.844,2.98,1.669,2.697
2004-08-01,1.828,2.948,1.78,2.871
2004-09-01,1.811,2.913,1.871,3.009
2004-10-01,1.929,3.095,2.073,3.326
2004-11-01,1.916,3.066,2.08,3.328
2004-12-01,1.79,2.857,1.939,3.095
2005-01-01,1.791,2.851,1.906,3.034
2005-02-01,1.861,2.954,1.958,3.108
2005-03-01,2.034,3.221,2.148,3.402
2005-04-01,2.198,3.473,2.226,3.517
2005-05-01,2.104,3.316,2.15,3.389
2005-06-01,2.108,3.313,2.256,3.545
2005-07-01,2.237,3.505,2.314,3.625
2005-08-01,2.448,3.823,2.421,3.781
2005-09-01,2.818,4.389,2.766,4.308
2005-10-01,2.752,4.275,3.107,4.826
2005-11-01,2.253,3.49,2.553,3.955
2005-12-01,2.177,3.364,2.424,3.746
2006-01-01,2.3,3.546,2.434,3.753
2006-02-01,2.242,3.449,2.445,3.761
2006-03-01,2.411,3.698,2.519,3.864
2006-04-01,2.775,4.244,2.681,4.1
2006-05-01,2.847,4.342,2.815,4.293
2006-06-01,2.819,4.289,2.834,4.312
2006-07-01,2.91,4.417,2.88,4.372
2006-08-01,2.889,4.375,2.952,4.47
2006-09-01,2.492,3.769,2.701,4.085
2006-10-01,2.171,3.28,2.467,3.727
2006-11-01,2.15,3.244,2.47,3.727
2006-12-01,2.242,3.372,2.528,3.803
2007-01-01,2.156,3.233,2.412,3.617
2007-02-01,2.17,3.243,2.417,3.613
2007-03-01,2.45,3.654,2.629,3.921
2007-04-01,2.769,4.12,2.801,4.168
2007-05-01,3.034,4.504,2.745,4.075
2007-06-01,2.989,4.429,2.756,4.084
2007-07-01,2.906,4.298,2.799,4.14
2007-08-01,2.74,4.045,2.803,4.138
2007-09-01,2.734,4.031,2.894,4.267
2007-10-01,2.741,4.036,2.984,4.393
2007-11-01,3.004,4.417,3.313,4.872
2007-12-01,2.935,4.31,3.279,4.816
2008-01-01,2.981,4.372,3.256,4.776
2008-02-01,2.982,4.368,3.341,4.894
2008-03-01,3.205,4.687,3.831,5.603
2008-04-01,3.415,4.987,4.021,5.872
2008-05-01,3.713,5.413,4.367,6.367
2008-06-01,3.962,5.762,4.637,6.743
2008-07-01,3.987,5.784,4.676,6.783
2008-08-01,3.697,5.35,4.251,6.151
2008-09-01,3.687,5.331,3.989,5.768
2008-10-01,2.961,4.278,3.537,5.11
2008-11-01,2.078,3,2.818,4.068
2008-12-01,1.652,2.385,2.394,3.457
2009-01-01,1.718,2.481,2.225,3.213
2009-02-01,1.872,2.705,2.138,3.089
2009-03-01,1.916,2.77,2.057,2.973
2009-04-01,2.014,2.913,2.192,3.17
2009-05-01,2.211,3.199,2.201,3.185
2009-06-01,2.549,3.687,2.498,3.613
2009-07-01,2.44,3.528,2.494,3.606
2009-08-01,2.54,3.671,2.588,3.741
2009-09-01,2.42,3.494,2.549,3.68
2009-10-01,2.454,3.539,2.608,3.761
2009-11-01,2.577,3.713,2.738,3.945
2009-12-01,2.533,3.646,2.699,3.885
2010-01-01,2.644,3.802,2.807,4.037
2010-02-01,2.575,3.699,2.746,3.945
2010-03-01,2.719,3.9,2.878,4.128
2010-04-01,2.794,4.001,3.018,4.322
2010-05-01,2.792,3.992,3.025,4.325
2010-06-01,2.656,3.793,2.894,4.133
2010-07-01,2.63,3.753,2.864,4.086
