LAND_YEAR,SPECIES_ITIS,COMMON_NAME,total_live_lbs,total_dollars,n_dealers,is_confidential
1972,167687,"BASS, BLACK SEA",121200,15838,0,TRUE
1972,167695,"GROUPER, GOLIATH",230805,22216,0,TRUE
1972,167704,"GROUPER, WARSAW",156800,23683,0,TRUE
1972,168546,"TILEFISH, GOLDEN",10200,2227,0,TRUE
1972,168566,COBIA,117175,9931,0,TRUE
1972,168609,"JACK, CREVALLE",902700,32526,0,TRUE
1972,168612,"RUNNER, BLUE",2062600,102821,0,TRUE
1972,168848,"SNAPPER, GRAY",529500,164108,0,TRUE
1972,168849,"SNAPPER, MUTTON",238100,101620,0,TRUE
1972,168853,"SNAPPER, RED",7903707,4342728,0,TRUE
1972,168860,"SNAPPER, LANE",14600,3583,0,TRUE
1972,168907,"SNAPPER, YELLOWTAIL",865500,442853,0,TRUE
1972,168909,"SNAPPER, VERMILION",117400,52997,0,TRUE
1972,169007,TRIPLETAIL,4503,508,0,TRUE
1972,169290,"DRUM, RED",3332306,733901,0,TRUE
1972,170566,HOGFISH,19500,4557,0,TRUE
1972,172436,"MACKEREL, SPANISH",7222350,893602,0,TRUE
1973,167687,"BASS, BLACK SEA",112300,18188,0,TRUE
1973,167695,"GROUPER, GOLIATH",226325,23738,0,TRUE
1973,167704,"GROUPER, WARSAW",119600,21397,0,TRUE
1973,168546,"TILEFISH, GOLDEN",12600,3989,0,TRUE
1973,168566,COBIA,112690,11466,0,TRUE
1973,168609,"JACK, CREVALLE",2428300,137075,0,TRUE
1973,168612,"RUNNER, BLUE",1373700,87178,0,TRUE
1973,168848,"SNAPPER, GRAY",557500,185424,0,TRUE
1973,168849,"SNAPPER, MUTTON",258800,117461,0,TRUE
1973,168853,"SNAPPER, RED",7712788,4656717,0,TRUE
1973,168860,"SNAPPER, LANE",24900,8080,0,TRUE
1973,168907,"SNAPPER, YELLOWTAIL",835500,508089,0,TRUE
1973,168909,"SNAPPER, VERMILION",176700,103731,0,TRUE
1973,169007,TRIPLETAIL,3906,331,0,TRUE
1973,169290,"DRUM, RED",4073059,995626,0,TRUE
1973,170566,HOGFISH,14500,4171,0,TRUE
1973,172436,"MACKEREL, SPANISH",6457577,1025897,0,TRUE
1973,172482,SWORDFISH,14400,14400,0,TRUE
1974,167687,"BASS, BLACK SEA",50600,7031,0,TRUE
1974,167695,"GROUPER, GOLIATH",190182,21703,0,TRUE
1974,167704,"GROUPER, WARSAW",118200,25126,0,TRUE
1974,168546,"TILEFISH, GOLDEN",15000,4908,0,TRUE
1974,168566,COBIA,132795,14569,0,TRUE
1974,168609,"JACK, CREVALLE",2089100,136873,0,TRUE
1974,168612,"RUNNER, BLUE",658300,59366,0,TRUE
1974,168848,"SNAPPER, GRAY",587000,205541,0,TRUE
1974,168849,"SNAPPER, MUTTON",257000,119378,0,TRUE
1974,168853,"SNAPPER, RED",8108647,5429421,0,TRUE
1974,168860,"SNAPPER, LANE",19000,7362,0,TRUE
1974,168907,"SNAPPER, YELLOWTAIL",937900,577335,0,TRUE
1974,168909,"SNAPPER, VERMILION",177900,106474,0,TRUE
1974,169007,TRIPLETAIL,4240,347,0,TRUE
1974,169290,"DRUM, RED",4756855,1197380,0,TRUE
1974,170566,HOGFISH,12100,3492,0,TRUE
1974,172423,"TUNA, YELLOWFIN",250,13,0,TRUE
1974,172436,"MACKEREL, SPANISH",8554436,1479971,0,TRUE
1974,172451,WAHOO,100,42,0,TRUE
1974,172482,SWORDFISH,49900,85860,0,TRUE
1975,167687,"BASS, BLACK SEA",39000,6622,0,TRUE
1975,167695,"GROUPER, GOLIATH",208361,26372,0,TRUE
1975,167704,"GROUPER, WARSAW",135000,33517,0,TRUE
1975,168546,"TILEFISH, GOLDEN",32400,9170,0,TRUE
1975,168566,COBIA,119131,18389,0,TRUE
1975,168609,"JACK, CREVALLE",2847000,201116,0,TRUE
1975,168612,"RUNNER, BLUE",1680227,170294,0,TRUE
1975,168848,"SNAPPER, GRAY",484500,167106,0,TRUE
1975,168849,"SNAPPER, MUTTON",259500,134053,0,TRUE
1975,168853,"SNAPPER, RED",7322106,5359059,0,TRUE
1975,168860,"SNAPPER, LANE",25600,11560,0,TRUE
1975,168907,"SNAPPER, YELLOWTAIL",675400,456254,0,TRUE
1975,168909,"SNAPPER, VERMILION",352800,215696,0,TRUE
1975,169007,TRIPLETAIL,2320,184,0,TRUE
1975,169290,"DRUM, RED",4386827,1327145,0,TRUE
1975,170566,HOGFISH,18200,5430,0,TRUE
1975,172436,"MACKEREL, SPANISH",6137798,1040267,0,TRUE
1975,172451,WAHOO,1400,530,0,TRUE
1975,172482,SWORDFISH,131000,226320,0,TRUE
