LAND_YEAR,guild,total_live_lbs,total_dollars,n_dealers,is_confidential
1977,Jacks,1432973.9999999998,116642,57,FALSE
1977,Other Reef Fish,97145,34805,35,FALSE
1977,Snappers & Groupers,420705,110827,75,FALSE
1978,Jacks,1807307.9999999998,161572.99999999994,60,FALSE
1978,Other Reef Fish,81886,30970,42,FALSE
1978,Snappers & Groupers,344876,91567.99999999999,86,FALSE
1979,Jacks,1364907.9999999998,139576,54,FALSE
1979,Other Reef Fish,76671,38238,27,FALSE
1979,Snappers & Groupers,331610.00000000006,126664.99999999999,75,FALSE
1980,Jacks,2630777,362829.00000000006,67,FALSE
1980,Other Reef Fish,66400,41417,40,FALSE
1980,Snappers & Groupers,350442.00000000006,137553,88,FALSE
1981,Jacks,1946951.9999999998,273117,63,FALSE
1981,Other Reef Fish,451321,267789,52,FALSE
1981,Snappers & Groupers,505508.99999999994,281573.5410729439,90,FALSE
1982,Jacks,1999479.9999999998,342613.99999999994,60,FALSE
1982,Other Reef Fish,399229,268296,62,FALSE
1982,Snappers & Groupers,429250,244930.11369533947,89,FALSE
1983,Jacks,1559072.9999999998,261674.99999999997,71,FALSE
1983,Other Reef Fish,288613.99999999994,225568.99999999997,66,FALSE
1983,Snappers & Groupers,314753.99999999994,178836.46326595204,104,FALSE
1984,Jacks,1369529.9999999998,195142.5126238547,66,FALSE
1984,Other Reef Fish,320633,269192.0541915211,70,FALSE
1984,Snappers & Groupers,242816.99999999997,181188.89138219185,107,FALSE
1985,Jacks,1152545.0000000002,189339.7823606845,72,FALSE
1985,Other Reef Fish,303868,265877.76006348926,76,FALSE
1985,Snappers & Groupers,301543,239962.25848278517,108,FALSE
1986,Jacks,1088976.996572268,6784.118585459287,84,FALSE
1986,Other Reef Fish,401320.1614558515,112084.86969470218,83,FALSE
1986,Snappers & Groupers,2311749.951268092,746592.8308111012,212,FALSE
1987,Jacks,1581676.25,2572.74,96,FALSE
1987,Other Reef Fish,658498.0329881633,354092.00795466144,98,FALSE
1987,Snappers & Groupers,1855228.929393248,575720.7479430417,227,FALSE
1988,Jacks,1462738.4341134026,322463.0840004939,110,FALSE
1988,Other Reef Fish,1069668.344,1142129.6315,114,FALSE
1988,Snappers & Groupers,1674450.6015416025,2500463.4827883574,234,FALSE
1989,Jacks,2015090.1036189196,353246.7378608091,118,FALSE
1989,Other Reef Fish,528819.0702738788,609683.2932816059,112,FALSE
1989,Porgies & Grunts,4160,2237,3,FALSE
1989,Snappers & Groupers,2008606.583913104,2962102.8594454885,298,FALSE
1990,Jacks,2409820.113175653,572830.2622531842,144,FALSE
1990,Other Reef Fish,436241.80809411313,451850.21199654695,141,FALSE
1990,Porgies & Grunts,216,140,6,FALSE
1990,Snappers & Groupers,1966032.518257528,3058342.991307173,282,FALSE
1991,Jacks,1972902.6074921126,483628.72210578993,180,FALSE
1991,Other Reef Fish,383518.42048396176,383569.40955623443,131,FALSE
1991,Porgies & Grunts,309,225,5,FALSE
1991,Snappers & Groupers,1639384.0409511747,2484385.234076011,278,FALSE
1992,Jacks,1979575.4303956293,530221.6922576957,182,FALSE
1992,Other Reef Fish,410352.1380645161,411045,113,FALSE
1992,Porgies & Grunts,1990,1882,8,FALSE
1992,Snappers & Groupers,1564426.172464026,2541291.987557099,249,FALSE
1993,Jacks,1775164.6518708854,585517.1546666801,178,FALSE
1993,Other Reef Fish,412198.9753200275,414390.77712749486,117,FALSE
1993,Porgies & Grunts,5199,4894,5,FALSE
1993,Snappers & Groupers,1174379.8361395195,1924327.8466428965,252,FALSE
1994,Jacks,1788294.1313423673,630244.3712041363,190,FALSE
1994,Other Reef Fish,536458.3355810515,635293.266107215,103,FALSE
1994,Porgies & Grunts,10278.5,9838.4,10,FALSE
1994,Snappers & Groupers,919149.2969535711,1579756.21367141,254,FALSE
1995,Jacks,498423.55051180534,273281.99571649387,183,FALSE
1995,Other Reef Fish,549757.4064283343,703460.9126239339,89,FALSE
1995,Porgies & Grunts,5398.6,4976.6,13,FALSE
1995,Snappers & Groupers,785860.9051998111,1402841.8311049303,222,FALSE
1996,Jacks,587234.111407039,372359.0765929877,149,FALSE
1996,Other Reef Fish,253009.52759762693,341619.10258119483,78,FALSE
1996,Porgies & Grunts,25403.07,23672.69,25,FALSE
1996,Snappers & Groupers,623055.4801456222,1225122.9904462637,194,FALSE
1997,Jacks,536240.62,356540.27,131,FALSE
1997,Other Reef Fish,497057,512745.52,84,FALSE
1997,Porgies & Grunts,51060.21,39563.81,26,FALSE
1997,Snappers & Groupers,647816.4400000001,1228831.21,177,FALSE
1998,Jacks,722022.09,403293.75,130,FALSE
1998,Other Reef Fish,409010.32,450814.04,85,FALSE
1998,Porgies & Grunts,92860.15000000001,81595.61,27,FALSE
1998,Snappers & Groupers,614221.86,1219135.8800000001,173,FALSE
1999,Jacks,669535.41,388736.74,151,FALSE
1999,Other Reef Fish,468974.36,581616.59,69,FALSE
1999,Porgies & Grunts,120112.86,101151.05,56,FALSE
1999,Snappers & Groupers,947350.1900000001,1877180.33,185,FALSE
2000,Jacks,570287.58,361924.38,135,FALSE
2000,Other Reef Fish,584488.1,811648.93,72,FALSE
2000,Porgies & Grunts,112564.71,102242.464,52,FALSE
2000,Snappers & Groupers,1049918.79,2147700.336,180,FALSE
2001,Jacks,615608.94,402812.186,148,FALSE
2001,Other Reef Fish,572296.75,831766.1900000001,78,FALSE
2001,Porgies & Grunts,137418.29,134636.17,60,FALSE
2001,Snappers & Groupers,965151.06,2009470.195,177,FALSE
2002,Jacks,554166.78,392951.098,142,FALSE
2002,Other Reef Fish,614263.22,850012.43,72,FALSE
2002,Porgies & Grunts,142456.26,135436.13,67,FALSE
2002,Snappers & Groupers,850621.62,1716669.712,175,FALSE
2003,Jacks,655449.91,446640.15,145,FALSE
2003,Other Reef Fish,535564.12,730325.59,75,FALSE
2003,Porgies & Grunts,140397.96,137180.31,68,FALSE
2003,Snappers & Groupers,1027299.86,2171516.775,180,FALSE
2004,Jacks,481939.43,337406.62,143,FALSE
2004,Other Reef Fish,680167.04,887115.84,72,FALSE
2004,Porgies & Grunts,161295.31,148764.29,79,FALSE
2004,Snappers & Groupers,940383.99,2020783.06,167,FALSE
2005,Jacks,338871.32,251664.011,129,FALSE
2005,Other Reef Fish,705638.92,1084766.67,72,FALSE
2005,Porgies & Grunts,94901.71,99871.307,75,FALSE
2005,Snappers & Groupers,754892.48,1683763.0795,148,FALSE
2006,Jacks,468622.8,355666.45,118,FALSE
2006,Other Reef Fish,450957.94,617326.73,64,FALSE
2006,Porgies & Grunts,117172.29000000001,129341.21,76,FALSE
2006,Snappers & Groupers,627501.9400000001,1495644.52,146,FALSE
2007,Jacks,420371.15,319488.36,108,FALSE
2007,Other Reef Fish,470088.81,678612.67,58,FALSE
2007,Porgies & Grunts,163818.4,176369.12,60,FALSE
2007,Snappers & Groupers,544778.74,1439555.3,125,FALSE
2008,Jacks,420966.1,348022.17,109,FALSE
2008,Other Reef Fish,524212.44,734795.81,59,FALSE
2008,Porgies & Grunts,158529.23,174997.823,59,FALSE
2008,Snappers & Groupers,473313.19,1229047.49,120,FALSE
2009,Jacks,491544.97000000003,399525.42,112,FALSE
2009,Other Reef Fish,617268.65,845662.03,54,FALSE
2009,Porgies & Grunts,265545.18,294329.4,60,FALSE
2009,Snappers & Groupers,493429.23000000004,1194464.94,125,FALSE
2010,Jacks,392435.8,306314.17,105,FALSE
2010,Other Reef Fish,276416.76,533416.81,36,FALSE
2010,Porgies & Grunts,189671.57,221275.9536,48,FALSE
2010,Snappers & Groupers,275966.33,705763.3986,100,FALSE
