"COMMON_NAME","grand_total_lbs","grand_total_dollars"
"MULLET, STRIPED",954940921.47004,417088924.691037
"OSTEICHTHYES",293725868.915497,42053101.3689876
"PROCAMBARUS",274286338.55,267526610.99
"DRUM, BLACK",256638102.727496,169302195.227381
"FISHES, BUFFALO",168843402.8,34313649.87
"CATFISHES, CHANNEL",139460820.020407,54819184.245246
"LADYFISH",122127819.929599,39021411.9706693
"GROUPERS",113414523.012705,100036765.050931
"CATFISH, BLUE",112870436.27,58403587.69
"SHEEPSHEAD",102760050.293582,33714109.0047735
"CROAKER, ATLANTIC",100769829.134131,37287766.1032775
"HERRING, ATLANTIC THREAD",99386611.4097329,14600076.6596159
"SARDINE, SPANISH",91376003.6501775,13466308.185
"SEATROUT, SPOTTED",88282950.5559637,62374312.5427971
"SHARKS",69122911.4821062,35699684.178881
"CRUSTACEANS",47834346,105188852.19
"MACKERELS, KING AND CERO",47255590,27320762.673657
"CATFISH, CHANNEL",43148203.05,24626511.67
"FLATFISHES",42143746,35426290.08
"DRUM, FRESHWATER",36782746.58,6283678.92
"HERRINGS",34495114.69,9078657.8
"SCAD, ROUND",34235769.34,15665122.41
"SHAD, GIZZARD",31572203,8614083.73
"SHAD, AMERICAN",29499962.5212118,4200034.29878624
"DOLLARS, KEYHOLE SAND",29234645,6497620.38
"SEATROUT, SAND",24889320.6961093,6451583.8660638
"TURBINIDAE",23901218,3334016.64
"GARFISHES",23542455.39,10751989.9
"POMPANO, FLORIDA",22544781.0775056,52026210.427492
"KINGFISHES",20733718.1549125,5899828.19191598
"BUTTERFISH,GULF",19404256.81,6198126.39
"BLUEFISH",18548367.890242,3676894.91281417
"JELLYFISH",17941573.25,1605480.946
"HERMIT, TRICOLOR",17808116.5,2309951.35
"GRUNTS",15472222.4417393,9867196.71085097
"MULLET, WHITE",14975711.9838791,5016042.75132195
"SCADS",14626272,2749033
"PORGIES",13889774.1759039,10927393.7699621
"GAR, ALLIGATOR",13670507.34,11692792.68
"CATFISH, FLATHEAD",13046582.2,6529388.8
"CARP, COMMON",10208401.98,1007003.25
"MOJARRAS",10144958.0218115,7158431.68066976
"AMBERJACKS",9545519.76,6185400.48527814
"SHARKS, SMALL COASTAL",9332386.36,17329292.9495
"DOLLARS, OTHER SAND",8510850,1156356.44
"BALLYHOOS",7897515.34,4778848.43
"TILAPIAS",7512731.69,3110642.94
