Year,Benthic,Cover,SE,SEup,SElow
1991,Coral,46,2.480683639,50.67073852,45.70937124
1992,Coral,53.31771469,2.47830115,55.79601584,50.83941354
1993,Coral,,,,
1994,Coral,54.3425965,2.581805608,56.92440211,51.7607909
1995,Coral,66.78905652,1.620752036,68.40980855,65.16830448
1996,Coral,47.75667666,2.217938534,49.97461519,45.53873813
1997,Coral,45.96527222,1.992785677,47.95805789,43.97248654
1998,Coral,50.10546172,2.451341251,52.55680297,47.65412047
1999,Coral,55.4810861,2.624260176,58.10534628,52.85682592
2000,Coral,62.08608158,1.217869563,63.30395114,60.86821201
2001,Coral,60.5946452,2.815135947,63.40978115,57.77950925
2002,Coral,61.78714999,3.523129233,65.31027922,58.26402076
2003,Coral,51.25861905,2.413704225,53.67232327,48.84491482
2004,Coral,63.08,2.19,65.27,60.89
2005,Coral,47.87,2.54,50.41,45.33
2006,Coral,51.61,3.3,54.91,48.31
2007,Coral,51.12,4.19,55.31,46.93
2008,Coral,56.09,3.48,59.57,52.61
2009,Coral,51.79111928,4.202734868,55.99385415,47.58838441
2010,Coral,52.58226546,3.670789309,56.25305477,48.91147615
2011,Coral,57.37656852,2.2043278,59.58089632,55.17224072
2012,Coral,52.35186402,4.448778054,56.80064207,47.90308596
2013,Coral,59.97500948,3.463214972,63.43822446,56.51179451
2014,Coral,59.08103548,2.746050271,61.82708575,56.33498521
2015,Coral,54.40605201,3.460972988,57.867025,50.94507902
2016,Coral,49.71979128,2.084333047,51.80412433,47.63545823
2017,Coral,51.4215661,2.742280353,54.16384646,48.67928575
2018,Coral,52.23700394,3.243838448,55.48084238,48.99316549
2019,Coral,54.18136742,2.63276041,56.81412783,51.54860701
2020,Coral,,,,
2021,Coral,,,,
2022,Coral,53.38740708,3.870974136,57.25838122,49.51643295
2023,Coral,54.57218835,3.255086421,57.82727477,51.31710192
2024,Coral,50.41985733,3.38348989,53.80334722,47.03636745
2025,Coral,48.19005488,2.480683639,50.67073852,45.70937124
1991,Macroalgae,,,,
1992,Macroalgae,17.67,1.7,19.37,15.97
1993,Macroalgae,,,,
1994,Macroalgae,17.66,1.57,19.23,16.09
1995,Macroalgae,11.14,1.31,12.45,9.83
1996,Macroalgae,19.68,2.11,21.79,17.57
1997,Macroalgae,14.79,1.44,16.23,13.35
1998,Macroalgae,29.64,1.86,31.5,27.78
1999,Macroalgae,30.14,2.7,32.84,27.44
2000,Macroalgae,21.64,1.23,22.87,20.41
2001,Macroalgae,19.98,1.94,21.92,18.04
2002,Macroalgae,7.935854579,1.396148329,9.332002909,6.53970625
2003,Macroalgae,19.59017443,2.832159426,22.42233386,16.75801501
2004,Macroalgae,12.03,2.77,14.8,9.26
2005,Macroalgae,34.03,2.58,36.61,31.45
2006,Macroalgae,21.1,2.32,23.42,18.78
2007,Macroalgae,21.73,2.28,24.01,19.45
2008,Macroalgae,24.06,2.16,26.22,21.9
2009,Macroalgae,35.47713647,4.004662953,39.48179942,31.47247352
2010,Macroalgae,32.49429617,2.529586063,35.02388224,29.96471011
2011,Macroalgae,30.10413904,1.593393324,31.69753237,28.51074572
2012,Macroalgae,37.58900783,3.804467318,41.39347514,33.78454051
2013,Macroalgae,29.75,2.81,32.56,26.94
2014,Macroalgae,29.65,2.34,31.99,27.31
2015,Macroalgae,35.53686082,2.865998543,38.40285937,32.67086228
2016,Macroalgae,37.14939377,2.353111322,39.50250509,34.79628245
2017,Macroalgae,26.75,1.9,28.65,24.85
2018,Macroalgae,34.59576208,2.376520844,36.97228293,32.21924124
2019,Macroalgae,33.28,2.76,36.04,30.52
2020,Macroalgae,,,,
2021,Macroalgae,,,,
2022,Macroalgae,29.3798546,3.319750893,32.69960549,26.0601037
2023,Macroalgae,30.94011248,3.127905441,34.06801792,27.81220704
2024,Macroalgae,24.20877662,2.713693471,26.92247009,21.49508315
2025,Macroalgae,33.39104985,2.293134717,35.68418456,31.09791513
1991,Sponge,,,,
1992,Sponge,1.9,0.38,2.28,1.52
1993,Sponge,,,,
1994,Sponge,1.76,0.34,2.1,1.42
1995,Sponge,1.4,0.7,2.1,0.7
1996,Sponge,1.19,0.18,1.37,1.01
1997,Sponge,2.07,0.64,2.71,1.43
1998,Sponge,1.35,0.37,1.72,0.98
1999,Sponge,0.95,0.26,1.21,0.69
2000,Sponge,0.71,0.16,0.87,0.55
2001,Sponge,1.26,0.31,1.57,0.95
