Year,Benthic,Cover,SE,SEup,SElow
1991,Coral,46.5,,,
1992,Coral,53.00583513,1.604239124,54.61007425,51.401596
1993,Coral,,,,
1994,Coral,50.65243152,1.813209575,52.4656411,48.83922195
1995,Coral,53.10074872,2.464499948,55.56524867,50.63624878
1996,Coral,48.68545194,1.850005098,50.53545704,46.83544684
1997,Coral,44.67423101,2.804754941,47.47898595,41.86947607
1998,Coral,47.22303773,4.690466896,51.91350462,42.53257083
1999,Coral,55.99914821,2.650259151,58.64940736,53.34888906
2000,Coral,60.18095303,2.425541205,62.60649424,57.75541183
2001,Coral,54.51428005,2.684537496,57.19881754,51.82974255
2002,Coral,54.53179918,2.828767046,57.36056623,51.70303214
2003,Coral,55.84698125,3.185559321,59.03254057,52.66142193
2004,Coral,59.36,2.43,61.79,56.93
2005,Coral,52.73,2.66,55.39,50.07
2006,Coral,57.63,2.68,60.31,54.95
2007,Coral,55.77,3.01,58.78,52.76
2008,Coral,58.99,3.26,62.25,55.73
2009,Coral,52.43682207,3.938132088,56.37495415,48.49868998
2010,Coral,62.03755088,3.122176442,65.15972732,58.91537444
2011,Coral,59.30267324,1.964625826,61.26729907,57.33804742
2012,Coral,54.63139502,3.35184156,57.98323658,51.27955346
2013,Coral,58.77393412,2.422115735,61.19604985,56.35181838
2014,Coral,59.88819234,2.017802847,61.90599518,57.87038949
2015,Coral,57.38484584,3.676250361,61.0610962,53.70859548
2016,Coral,57.64057977,2.371915218,60.01249498,55.26866455
2017,Coral,55.77302665,1.835055009,57.60808165,53.93797164
2018,Coral,55.20228924,2.452350353,57.6546396,52.74993889
2019,Coral,59.96172277,2.059301683,62.02102445,57.90242108
2020,Coral,,,,
2021,Coral,,,,
2022,Coral,56.30812961,2.999511811,59.30764142,53.3086178
2023,Coral,53.93358408,2.912187211,56.84577129,51.02139687
2024,Coral,62.13597233,2.470563356,64.60653568,59.66540897
2025,Coral,60.46348099,2.453770486,62.91725147,58.0097105
1991,Macroalgae,,,,
1992,Macroalgae,13.15,0.81,13.96,12.34
1993,Macroalgae,,,,
1994,Macroalgae,10.47,1.17,11.64,9.3
1995,Macroalgae,16.45,1.97,18.42,14.48
