Species,Region,YEAR,N_SITES,PPOS,NOMINAL_STD,StdWtYhat,newLB,newUB,CVannual
Almaco Jack,Gulf,1993,NA,NA,1.563,1.209,0.996,1.423,0.261
Almaco Jack,Gulf,1994,NA,NA,1.862,2.502,1.895,3.11,0.359
Almaco Jack,Gulf,1995,NA,NA,1.485,1.328,1.048,1.608,0.312
Almaco Jack,Gulf,1996,NA,NA,0.907,0.86,0.74,0.979,0.206
Almaco Jack,Gulf,1997,NA,NA,1.273,1.574,1.353,1.795,0.208
Almaco Jack,Gulf,2002,NA,NA,2.731,2.371,2.06,2.682,0.194
Almaco Jack,Gulf,2004,NA,NA,1.93,1.502,1.244,1.761,0.255
Almaco Jack,Gulf,2005,NA,NA,1.322,1.143,1.016,1.271,0.165
Almaco Jack,Gulf,2006,NA,NA,0.634,0.797,0.694,0.9,0.192
Almaco Jack,Gulf,2007,NA,NA,1.017,0.784,0.7,0.868,0.158
Almaco Jack,Gulf,2008,NA,NA,1.054,1.486,1.283,1.688,0.201
Almaco Jack,Gulf,2009,NA,NA,0.728,0.876,0.694,1.058,0.308
Almaco Jack,Gulf,2010,NA,NA,0.492,0.47,0.402,0.538,0.214
Almaco Jack,Gulf,2011,NA,NA,0.578,0.759,0.656,0.862,0.201
Almaco Jack,Gulf,2012,NA,NA,0.849,1.057,0.939,1.175,0.165
Almaco Jack,Gulf,2013,NA,NA,0.692,0.787,0.693,0.88,0.175
Almaco Jack,Gulf,2014,NA,NA,0.352,0.463,0.402,0.524,0.195
Almaco Jack,Gulf,2015,NA,NA,0.651,0.634,0.56,0.709,0.174
Almaco Jack,Gulf,2016,NA,NA,0.671,0.633,0.591,0.675,0.098
Almaco Jack,Gulf,2017,NA,NA,0.755,0.744,0.676,0.813,0.136
Almaco Jack,Gulf,2018,NA,NA,0.684,0.691,0.628,0.754,0.134
Almaco Jack,Gulf,2019,NA,NA,0.893,0.945,0.864,1.026,0.127
Almaco Jack,Gulf,2020,NA,NA,0.395,0.257,0.225,0.29,0.187
Almaco Jack,Gulf,2021,NA,NA,0.767,0.647,0.599,0.695,0.109
Almaco Jack,Gulf,2022,NA,NA,1.071,0.902,0.842,0.962,0.098
Almaco Jack,Gulf,2023,NA,NA,0.646,0.578,0.531,0.625,0.119
Gag Grouper,East,1993,NA,NA,0.36,0.311,0.248,0.375,0.561
Gag Grouper,East,1994,NA,NA,0.061,0.145,0.08,0.21,1.236
Gag Grouper,East,1995,NA,NA,1.023,1.078,0.865,1.29,0.545
Gag Grouper,East,1996,NA,NA,0.533,0.478,0.404,0.552,0.429
Gag Grouper,East,1997,NA,NA,0.438,0.379,0.329,0.429,0.366
Gag Grouper,East,2002,NA,NA,1.547,0.99,0.904,1.076,0.239
Gag Grouper,East,2004,NA,NA,1.665,1.05,0.951,1.148,0.259
Gag Grouper,East,2005,NA,NA,1.225,0.977,0.904,1.049,0.205
Gag Grouper,East,2006,NA,NA,2.995,3.943,3.575,4.31,0.257
Gag Grouper,East,2007,NA,NA,1.367,2.416,2.159,2.673,0.293
Gag Grouper,East,2008,NA,NA,1.182,1.335,1.214,1.456,0.25
Gag Grouper,East,2009,NA,NA,2.232,2.546,2.367,2.725,0.194
Gag Grouper,East,2010,NA,NA,1.818,1.268,1.176,1.36,0.201
Gag Grouper,East,2011,NA,NA,1.439,1.254,1.183,1.325,0.155
Gag Grouper,East,2012,NA,NA,0.855,0.727,0.682,0.771,0.169
Gag Grouper,East,2013,NA,NA,1.039,1.136,1.023,1.249,0.275
Gag Grouper,East,2014,NA,NA,0.465,0.478,0.442,0.515,0.21
Gag Grouper,East,2015,NA,NA,0.532,0.521,0.488,0.554,0.176
Gag Grouper,East,2016,NA,NA,0.695,0.645,0.615,0.675,0.127
Gag Grouper,East,2017,NA,NA,0.698,0.57,0.537,0.602,0.158
Gag Grouper,East,2018,NA,NA,0.471,0.393,0.371,0.415,0.154
Gag Grouper,East,2019,NA,NA,0.868,1.144,1.047,1.241,0.234
Gag Grouper,East,2020,NA,NA,0.302,0.325,0.301,0.349,0.202
Gag Grouper,East,2021,NA,NA,0.703,0.664,0.633,0.694,0.126
Gag Grouper,East,2022,NA,NA,0.776,0.64,0.612,0.667,0.117
Gag Grouper,East,2023,NA,NA,0.712,0.589,0.561,0.616,0.13
Gray Snapper,East,1993,NA,NA,0.722,0.329,0.13,0.528,0.307
Gray Snapper,East,1994,NA,NA,1.324,1.106,0.195,2.016,0.419
Gray Snapper,East,1995,NA,NA,1.9,1.141,0.267,2.016,0.389
Gray Snapper,East,1996,NA,NA,0.646,0.578,0.222,0.934,0.313
Gray Snapper,East,1997,NA,NA,1.031,0.695,0.328,1.063,0.269
Gray Snapper,East,2002,NA,NA,0.782,0.651,0.331,0.971,0.25
Gray Snapper,East,2004,NA,NA,0.318,0.202,0.053,0.352,0.376
Gray Snapper,East,2005,NA,NA,0.23,0.367,0.055,0.679,0.433
Gray Snapper,East,2006,NA,NA,0.748,0.915,0.409,1.42,0.281
Gray Snapper,East,2007,NA,NA,0.505,1.366,0.342,2.39,0.381
Gray Snapper,East,2008,NA,NA,1.548,1.594,0.738,2.449,0.273
Gray Snapper,East,2009,NA,NA,1.283,1.318,0.732,1.905,0.226
Gray Snapper,East,2010,NA,NA,0.817,0.74,0.441,1.039,0.206
Gray Snapper,East,2011,NA,NA,0.654,0.708,0.502,0.914,0.148
Gray Snapper,East,2012,NA,NA,0.851,0.879,0.624,1.135,0.148
Gray Snapper,East,2013,NA,NA,0.908,0.947,0.578,1.317,0.198
Gray Snapper,East,2014,NA,NA,1.166,1.224,0.92,1.527,0.126
Gray Snapper,East,2015,NA,NA,1.096,1.094,0.766,1.421,0.152
Gray Snapper,East,2016,NA,NA,1.184,1.18,0.97,1.39,0.091
Gray Snapper,East,2017,NA,NA,1.376,1.544,1.226,1.863,0.105
Gray Snapper,East,2018,NA,NA,0.616,0.864,0.388,1.341,0.28
Gray Snapper,East,2019,NA,NA,0.882,1.104,0.851,1.357,0.116
Gray Snapper,East,2020,NA,NA,1.414,1.434,1.09,1.778,0.122
Gray Snapper,East,2021,NA,NA,1.21,1.304,1.022,1.587,0.11
Gray Snapper,East,2022,NA,NA,1.443,1.433,1.159,1.708,0.097
Gray Snapper,East,2023,NA,NA,1.344,1.281,1.025,1.538,0.102
Gray Triggerfish,Gulf,1993,NA,NA,1.032,0.41,0.349,0.472,0.19
Gray Triggerfish,Gulf,1994,NA,NA,1.213,0.924,0.571,1.277,0.484
Gray Triggerfish,Gulf,1995,NA,NA,0.887,0.462,0.353,0.572,0.301
Gray Triggerfish,Gulf,1996,NA,NA,0.626,0.372,0.325,0.418,0.158
Gray Triggerfish,Gulf,1997,NA,NA,1.498,1.562,1.311,1.812,0.203
Gray Triggerfish,Gulf,2002,NA,NA,0.733,0.891,0.406,1.376,0.689
Gray Triggerfish,Gulf,2004,NA,NA,0.773,0.646,0.467,0.825,0.351
Gray Triggerfish,Gulf,2005,NA,NA,0.582,0.622,0.515,0.729,0.218
Gray Triggerfish,Gulf,2006,NA,NA,0.927,1.188,1.021,1.355,0.178
Gray Triggerfish,Gulf,2007,NA,NA,0.542,1.034,0.876,1.191,0.193
Gray Triggerfish,Gulf,2008,NA,NA,0.917,1.075,0.94,1.209,0.158
Gray Triggerfish,Gulf,2009,NA,NA,1.356,1.474,1.312,1.635,0.139
Gray Triggerfish,Gulf,2010,NA,NA,0.94,0.734,0.641,0.827,0.161
Gray Triggerfish,Gulf,2011,NA,NA,0.792,0.832,0.732,0.932,0.152
Gray Triggerfish,Gulf,2012,NA,NA,0.607,0.682,0.6,0.763,0.151
Gray Triggerfish,Gulf,2013,NA,NA,0.644,0.562,0.503,0.622,0.134
Gray Triggerfish,Gulf,2014,NA,NA,0.718,0.66,0.605,0.715,0.105
Gray Triggerfish,Gulf,2015,NA,NA,1.187,0.85,0.786,0.915,0.096
Gray Triggerfish,Gulf,2016,NA,NA,1.376,1.254,1.188,1.32,0.066
Gray Triggerfish,Gulf,2017,NA,NA,1.031,1.062,1,1.124,0.074
Gray Triggerfish,Gulf,2018,NA,NA,1.096,1.031,0.962,1.099,0.084
Gray Triggerfish,Gulf,2019,NA,NA,0.849,0.896,0.84,0.952,0.079
Gray Triggerfish,Gulf,2020,NA,NA,1.262,1.614,1.426,1.802,0.148
Gray Triggerfish,Gulf,2021,NA,NA,1.3,1.696,1.566,1.826,0.097
Gray Triggerfish,Gulf,2022,NA,NA,1.557,1.793,1.673,1.914,0.085
Gray Triggerfish,Gulf,2023,NA,NA,1.556,1.676,1.573,1.779,0.078
Greater Amberjack,Gulf,1993,NA,NA,0.158,0.084,0.045,0.124,0.445
Greater Amberjack,Gulf,1994,NA,NA,1.259,1.554,0.928,2.181,0.383
Greater Amberjack,Gulf,1995,NA,NA,1.332,1.583,0.863,2.302,0.432
Greater Amberjack,Gulf,1996,NA,NA,0.731,0.701,0.552,0.849,0.201
Greater Amberjack,Gulf,1997,NA,NA,0.848,0.87,0.666,1.073,0.222
Greater Amberjack,Gulf,2002,NA,NA,2.279,1.688,1.308,2.069,0.214
Greater Amberjack,Gulf,2004,NA,NA,0.893,0.739,0.498,0.98,0.31
Greater Amberjack,Gulf,2005,NA,NA,1.097,1.057,0.834,1.28,0.201
Greater Amberjack,Gulf,2006,NA,NA,1.441,1.868,1.261,2.476,0.309
