YEAR,SMean (no./m3),Slower95 (no./m3),Supper95 (no./m3),FMean (no./m3),Flower95 (no./m3),Fupper95 (no./m3)
2003,,,,198.5515487,165.9604523,237.5428419
2005,70.64610212,56.76432854,87.92267738,,,
2006,37.26789586,30.51037489,45.522091,,,
2007,46.82030285,39.76194729,55.13162479,98.94782196,80.8097457,121.1570632
2008,48.98951192,41.18986085,58.26609338,105.9150579,84.20170314,133.2277029
2009,47.96111248,36.14165163,63.64591008,113.1633941,92.10067226,139.0429998
2010,,,,113.9494876,93.66220009,138.6310134
2011,37.17408409,30.58241321,45.18651026,234.1913658,186.7382214,293.7031071
2012,50.01366566,42.07498561,59.45021053,141.1460545,120.0897677,165.8943062
2013,45.53140961,39.52641113,52.44870966,159.7142826,131.9766607,193.2815388
2014,44.11155048,38.86167866,50.07063391,177.9322463,148.1086844,213.7611606
2015,71.80627388,62.05120214,83.0949408,,,
2016,63.88976782,54.84384919,74.427716,204.1268102,170.734599,244.049858
2017,55.91344292,46.55956164,67.14653207,339.8053941,259.6451338,444.7135372
2018,61.38271834,52.75210716,71.42535746,51.05509471,37.98647655,68.61975451
2019,72.41325389,62.18669689,84.32156073,158.735319,132.6993869,189.8795623
2021,49.54216307,43.37207185,56.59000866,,,
2022,,,,175.2328964,142.5235663,215.4490572
2023,36.23446651,31.73898316,41.3666864,98.30864728,73.24355698,131.9514034
