Date,Escambia,Santa Rosa,Okaloosa,Walton,Bay,Gulf,Franklin,Wakulla,Jefferson,Taylor,Dixie,Levy,Citrus,Hernando,Pasco,Pinellas,Hillsborough,Manatee,Sarasota,Charlotte,Lee,Collier,Monroe
01/01/2000,,,,11752.091796875,,,,,,,,,,,,,,,13751.022279251454,22446.774188701922,37175.352759132926,75843.110390625,
02/01/2000,,,,,,,,,,,,,,,,,,,12412.272827148438,16253.570033482143,20379.715277777777,208178.69889322916,
03/01/2000,,,,,,,,,,,,,,,,,,15126.2958984375,28366.099757339016,39457.83359375,66986.43694196429,185012.39029947916,
04/01/2000,,,,,,,,,,,,,,,,,,,10306.78857421875,,13026.0576171875,33764.009874131945,
05/01/2000,,,,,,,,,,,,,,,,,,,,,,,
06/01/2000,,,,,,,,,,,,,,,,,,,,,,,
07/01/2000,,,,,,,,,,,,,,,,,,,,,,,
08/01/2000,,,,,22590.69609375,80421.18774414062,,,,,,,,,,,,,,,10027.810546875,,
09/01/2000,46736.190104166664,29045.619140625,157191.55823863635,98344.50251116071,143634.81525440706,72815.10483685661,,,,,,,,,,11673.5966796875,,,,,,,
10/01/2000,10469.3359375,12807.6552734375,27182.165888247284,744197.0696614584,467473.4131673177,10680.755859375,,,,,,,,,,62638.57643821023,82436.26432291667,52607.66467927631,58998.420927159925,450231.9743923611,46174.67136548913,15565.638997395834,
11/01/2000,,,,,12535.58056640625,,,,,,,,,,,,,,,,,,
12/01/2000,,,,,,,,,,,,,,,,,,,,,,,
01/01/2001,,,,,,,,,,,,,,,,,,,,,,,
02/01/2001,,,,,,,,,,,,,,,,,,,,,,,
03/01/2001,,,,,,,,,,,,,,,,,,,,,,,
04/01/2001,,,,,,,,,,,,,,,,,,,,,,,
05/01/2001,,,,,,,,,,,,,,,,,,,,,,,
06/01/2001,,,,,,,,,,,,,,,,,,,,,,,
07/01/2001,,,,,,,,,,,,,,,,,,,,,,,
08/01/2001,,,,,,,,,,,,,,,,,35999.3466796875,15819.785888671875,61023.9583984375,1497270.170138889,250771.40407986112,,
09/01/2001,,,,,,,,,,,,,,,97854.182421875,405485.53706395347,1055723.0,2177971.205078125,1131192.7400716145,234194.11793870194,70258.17525337837,,
10/01/2001,,,13824.74365234375,20188.16015625,77939.00447591145,151914.98858173078,29387.566509046053,,,,,,,,,632052.1120198568,1115540.4578993055,878780.3891344572,470205.58435058594,127795.9765625,56370.7328125,,
11/01/2001,,,,11837.176432291666,20138.11298076923,89583.9736328125,17262.50966796875,,,,,,,,,318644.34905133926,533545.0234375,277530.96546519885,354948.90680803574,356925.75334821426,91913.4312109375,,
12/01/2001,,,10990.872265625,11550.630681818182,12906.728464226973,12800.0595703125,16384.2900390625,,,,,,,,,49832.25385199653,94652.53255208333,40647.293987771736,86139.01645507812,93647.18917410714,96566.12095905172,40616.5009765625,
01/01/2002,,,,,,,,,,,,,,,,23127.365792410714,165018.09787326388,137012.11054144966,122748.97820490057,157983.44118923612,75471.51358816965,14095.345628004809,
02/01/2002,25815.29305366848,36479.791015625,43620.807421875,49585.561197916664,50110.11997767857,50715.39054361979,50988.23848958333,,,,,51101.93515625,,,51215.36929086538,46501.158162992295,33604.93588654891,40138.572734375,120972.92057291667,1123873.4150390625,408586.0189819336,109530.12068256579,
03/01/2002,,,,,,,,,,,,44224.315538194445,49452.85720486111,52132.946614583336,54570.587239583336,52970.459635416664,50297.984375,51577.63845486111,48597.31724330357,75163.60416666667,98238.83492943548,51197.2984375,
04/01/2002,,,,,,,,,,,,,,,,,,15045.856119791666,36055.42578125,,,12825.73641690341,33566.525390625
05/01/2002,,,,,,,,,,,,,,,,,,,,,,,
06/01/2002,,,,,,,,,,,,,,,,,22506.144856770832,22436.71661931818,25226.844853940216,17813.652018229168,16097.5400390625,,
07/01/2002,,13544.341796875,,,,13544.341796875,13544.341796875,,,13544.341796875,13544.341796875,13545.0467578125,13547.650240384615,13544.341796875,,12891.90909090909,11669.268275669643,10481.5791015625,20838.744698660714,13150.4931640625,13495.127766927084,13544.341796875,13544.341796875
08/01/2002,22215.662109375,22155.4462890625,22208.0771484375,22213.25830078125,,22215.662109375,22215.662109375,22215.662109375,,22215.662109375,22215.662109375,22215.662109375,22215.662109375,22215.662109375,22215.662109375,21998.733154296875,21831.215959821428,21478.348958333332,,,21021.536044034092,22215.662109375,22215.662109375
09/01/2002,40403.6015625,40403.6015625,40403.6015625,40403.6015625,40403.6015625,40403.6015625,40403.6015625,40403.6015625,,40403.6015625,40403.6015625,40403.60163225447,40403.6015625,40403.6015625,40403.6015625,40403.60171875,40403.6015625,40403.6015625,40403.602982954544,40403.6015625,40403.601953125,40403.6015625,40403.6015625
10/01/2002,22485.525390625,18932.69296875,14590.3603515625,14927.678168402777,16419.862250434027,16564.14951171875,16592.535220286885,16513.2373046875,16504.7421875,16504.7421875,16504.7421875,16505.01982606132,16509.548502604168,16526.091145833332,16967.573508522728,19779.160067471592,18720.854383680555,18526.828979492188,15606.12744140625,12620.766276041666,15537.625,16504.7421875,16504.7421875
11/01/2002,,,,,,,,,,,,,,,10176.6474609375,10394.7158203125,,,10589.01953125,17140.84640066964,15235.8634765625,11819.6017578125,10336.6259765625
12/01/2002,13596.8095703125,13596.8095703125,13596.8095703125,13596.8095703125,13596.8095703125,13596.8095703125,13596.8095703125,,,,13596.8095703125,13596.8095703125,13596.8095703125,13596.8095703125,13596.8095703125,13596.8095703125,13596.8095703125,16499.255794270834,37577.24700055803,11458.7919921875,54745.91462053572,48403.416556222095,13596.8095703125
01/01/2003,59783.51953125,59783.51953125,59783.51953125,59783.51953125,59783.51953125,59783.51953125,59783.51953125,,,59783.51953125,59783.51953125,59783.51953125,59783.51953125,59783.51953125,59783.51953125,49831.24838867188,57050.416883680555,94362.05690696022,96973.41984675481,20960.404436383928,55063.82802220395,100905.65485491071,40457.494621155754
02/01/2003,13722.8681640625,13722.8681640625,13722.8681640625,13722.8681640625,13722.8681640625,13722.8681640625,13722.8681640625,,,,13722.8681640625,13722.8681640625,13722.8681640625,13722.8681640625,13722.8681640625,13722.8681640625,13722.8681640625,13722.8681640625,10646.9189453125,10504.3974609375,13305.906901041666,10733.55078125,26015.20832170759
03/01/2003,30058.01171875,30058.01171875,30058.01171875,30058.01171875,30058.01171875,30058.01171875,30058.01171875,30058.01171875,,,30058.01171875,29351.824797453704,25131.385881696428,,,37933.798828125,40443.349888392855,,76494.10267857143,358372.7984375,817836.9423828125,107691.161328125,31066.70924831081
04/01/2003,,117299.6515625,78010.40625,76540.609375,,82982.34765625,84411.77672697368,,,90085.6875,89562.97265625,91216.7434375,91970.947265625,,92946.25,106047.77734375,100910.91796875,142251.4375,184050.296875,351994.2375,156547.0119243421,113526.58644701086,67401.43072916666
05/01/2003,,,,,,,,,,,,,,,,,,,112816.08984375,50769.15625,53448.01207386364,,
06/01/2003,29435.120768229168,29395.091796875,,,,29620.98828125,29622.277018229168,,,,29633.5126953125,29634.692626953125,29622.435546875,,29632.0078125,30796.698102678572,30339.60302734375,30580.296875,29909.75390625,28798.594921875,28952.109635416666,29536.565364583334,29622.435546875
07/01/2003,12301.640625,,,,,,,,,10782.250651041666,15187.0361328125,20538.710571289062,25967.720703125,28748.142578125,31631.801822916666,44917.1970703125,52544.41259765625,56185.85546875,62134.984375,58836.9931640625,54260.1064453125,48123.26484375,26254.75017755682
08/01/2003,59550.60546875,59550.60546875,,59550.60546875,,,59550.60546875,59550.60546875,59550.60546875,59550.60546875,59364.9375,59078.62710336538,59035.57102272727,58696.96875,57211.94117647059,54352.98701746324,48662.93671875,111417.87369791667,225653.77734375,64011.96171875,35626.56891741072,58625.79017857143,59550.60546875
