X,Y,OBJECTID,SAMPLE_DATE,TIME,TIMEZONE,DEPTH,LOCATION,LATITUDE,LONGITUDE,NAME,COUNT_,HAB_ID
551190.335299999,349263.2268,4305508,2024/01/03 00:00:00+00,10:20:00,EST,0.5,Southern Blackburn Bay,27.14028,-82.47166,Karenia brevis,0,HABW240104-049
551339.185199998,348270.1273,4305509,2024/01/03 00:00:00+00,10:04:00,EST,0.5,"Albee Road Bridge; N of (Blackburn Bay)",27.13132,-82.47028,Karenia brevis,0,HABW240104-050
551339.185199998,348270.1273,4305510,2024/01/03 00:00:00+00,10:09:00,EST,0.5,"Albee Road Bridge; N of (Blackburn Bay)",27.13132,-82.47028,Karenia brevis,0,HABW240104-051
550675.088100001,349887.5769,4305971,2024/03/06 00:00:00+00,10:49:00,EST,0.5,Mid-Blackburn Bay,27.14596,-82.47679,Karenia brevis,0,HABW240307-048
551345.954799999,348840.972,4305972,2024/03/06 00:00:00+00,10:29:00,EST,0.5,"Blackburn Bay; S of (ICW)",27.13646,-82.47014,Karenia brevis,0,HABW240307-049
551392.616999999,347950.9871,4305973,2024/03/06 00:00:00+00,10:12:00,EST,0.5,"Albee Road Bridge; N of (Blackburn Bay)",27.12844,-82.46978,Karenia brevis,0,HABW240307-050
551392.616999999,347950.9871,4305974,2024/03/06 00:00:00+00,10:17:00,EST,0.5,"Albee Road Bridge; N of (Blackburn Bay)",27.12844,-82.46978,Karenia brevis,0,HABW240307-051
552173.149900001,347090.1239,4305975,2024/03/06 00:00:00+00,14:35:00,EST,0.5,Lyons Bay,27.1206,-82.462,Karenia brevis,0,HABW240307-052
552918.795899998,346810.7364,4305976,2024/03/06 00:00:00+00,13:53:00,EST,0.5,Dona Bay,27.118,-82.4545,Karenia brevis,0,HABW240307-053
551803.266899999,346596.9295,4305977,2024/03/06 00:00:00+00,14:15:00,EST,0.5,"Turner Key; W of (Lyons Bay; ICW)",27.1162,-82.4658,Karenia brevis,0,HABW240307-054
553697.969799999,345443.6023,4305978,2024/03/06 00:00:00+00,13:32:00,EST,0.5,"Venice Marina Park; NW of (ICW)",27.1056,-82.4468,Karenia brevis,0,HABW240307-055
551869.346999999,346853.1493,4305979,2024/01/03 00:00:00+00,13:31:00,EST,0.5,Lyons Bay,27.1185,-82.4651,Karenia brevis,0,HABW240104-052
553405.255899999,347471.9949,4305980,2024/01/03 00:00:00+00,12:42:00,EST,0.5,Dona Bay,27.1239,-82.4495,Karenia brevis,0,HABW240104-053
551895.492899999,346342.6802,4305981,2024/01/03 00:00:00+00,13:09:00,EST,0.5,"Turner Key; S of (Venice Inlet)",27.1139,-82.4649,Karenia brevis,0,HABW240104-054
553569.334199999,345441.9826,4305982,2024/01/03 00:00:00+00,12:16:00,EST,0.5,"Venice Marina Park; NW of (ICW)",27.1056,-82.4481,Karenia brevis,0,HABW240104-055
555319.3301,343243.2953,4305983,2024/01/03 00:00:00+00,11:49:00,EST,0.5,"Venice Municiple Airport; N of (ICW)",27.0856,-82.4307,Karenia brevis,0,HABW240104-056
555797.274799999,337747.3296,4305984,2024/01/03 00:00:00+00,11:21:00,EDT,0.5,"Alligator Creek; S of (ICW)",27.03605,-82.42658,Karenia brevis,0,HABW240104-057
556997.138799999,335696.2587,4305985,2024/01/03 00:00:00+00,11:02:00,EST,0.5,"Manasota Beach Bridge; NW of (ICW)",27.01744,-82.41473,Karenia brevis,0,HABW240104-058
558016.012600001,333882.8148,4305986,2024/01/03 00:00:00+00,10:46:00,EST,0.5,"Forked Creek; NW of (Lemon Bay)",27.00099,-82.40468,Karenia brevis,0,HABW240104-059
559514.2753,331799.2305,4305987,2024/01/03 00:00:00+00,10:26:00,EST,0.5,"Leachs Key; N of (Lemon Bay)",26.98205,-82.38983,Karenia brevis,0,HABW240104-060
561758.561999999,328942.883,4305988,2024/01/03 00:00:00+00,10:06:00,EST,0.5,"Indian Mound Park; W of (Lemon Bay)",26.95606,-82.36756,Karenia brevis,0,HABW240104-061
561758.561999999,328942.883,4305989,2024/01/03 00:00:00+00,10:11:00,EST,0.5,"Indian Mound Park; W of (Lemon Bay)",26.95606,-82.36756,Karenia brevis,0,HABW240104-062
190434.372499999,717119.6295,4305990,2024/01/04 00:00:00+00,10:16:00,CST,0.3,"Motes Point; S of (Choctawhatchee Bay)",30.444917,-86.184194,Karenia brevis,0,HABW240105-001
182841.873100001,720003.6893,4305991,2024/01/04 00:00:00+00,10:40:00,CST,0.3,"Alaque Point; 1.7 mi W of (Choctawhatchee Bay)",30.469667,-86.263861,Karenia brevis,0,HABW240105-002
161316.761399999,715747.1892,4305992,2024/01/04 00:00:00+00,11:16:00,CST,0.3,"Piney Point; 1.2 mi N of  (Choctawhatchee Bay)",30.427583,-86.487306,Karenia brevis,0,HABW240105-003
