"indicator","Cobia_SEDAR28U_Biomass"
"unit","Million pounds"
"extent","Area 1"
"2000","11.8550794956"
"2001","11.8654412096"
"2002","11.0179852816"
"2003","10.912869"
"2004","10.2326996376"
"2005","10.2939880736"
"2006","11.7557834108"
"2007","12.0091824336"
"2008","11.619119017"
"2009","12.6317230292"
"2010","14.1637575596"
"2011","14.1573641616"
"2012","12.9700881068"
"2013","12.793189398"
"2014","12.89372007"
"2015","11.9839615808"
"2016","11.5405022678"
"2017","10.6632398774"
"2018","11.2574951984"
